orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Tense,VerbForm,Voice,Definite,PronType,Mood,Person
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,ROOT,0.0,ἀλλὰ᾽,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,,,
ὅ,ὅ,ὅ,ὅ,ὅ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,μωυσῆς,(),False,x̔́,False,False,False,False,Nom,Masc,Sing,,,,,,,,
γε,γε,γε,γε,γε,γ,-20.0,ADV,d--------,,advmod,0.0,μωυσῆς,(),True,xx,True,False,False,False,,,,,,,,,,,
μέγας,μέγας,μέγας,μέγας,γας,μ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,μωυσῆς,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,,
μωυσῆς,μωυσῆς,μωυσῆς,μωυσῆς,ῆς,μ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,νομίσας,(),False,xxxx͂x,False,False,False,False,Nom,Masc,Sing,,,,,,,,
ἀλλοτριώτατον,ἀλλοτριώτατον,ἀλλοτριώς,ἀλλοτριώτατον,τον,α,-20.0,ADJ,A-,Case=Acc|Degree=Sup|Gender=Neut|Number=Sing,ccomp,0.0,νομίσας,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,Sup,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,ὁρατοῦ,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,,
ὁρατοῦ,ὁρατοῦ,ὁρατοῦ,ὁρατοῦ,οῦ,ο,-20.0,ADJ,A-,Case=Gen|Degree=Pos|Gender=Neut|Number=Sing,nmod,0.0,ἀλλοτριώτατον,(),False,x̔xxxx͂,False,False,False,False,Gen,Neut,Sing,Pos,,,,,,,
νομίσας,νομίσας,νομίζω,νομίσας,σας,ν,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἀλλὰ᾽,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,Past,Part,Act,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,ἀγένητον,(),False,xx̓͂xxx,False,False,False,False,,,,,Pres,Inf,Act,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Definite=Def|Gender=Neut|Number=Sing|PronType=Dem,det,0.0,ἀγένητον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,Def,Dem,,
ἀγένητον,ἀγένητον,ἀγένητος,ἀγένητον,τον,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,νομίσας,(),False,x̓xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,
—,—,—,-,—,—,-20.0,PUNCT,u--------,,punct,0.0,γενέσει,(),False,—,False,True,False,False,,,,,,,,,,,
πᾶν,πᾶν,πᾶς,πᾶν,ᾶν,π,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,γενέσει,(),False,xx͂x,False,False,False,False,Nom,Neut,Sing,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,γενέσει,(),False,xx̀x,False,False,False,False,,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,αἰσθητὸν,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,,,
αἰσθητὸν,αἰσθητὸν,αἰσθητὸς,αἰσθητὸν,ὸν,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,γενέσει,(),False,xx̓xxxx̀x,False,False,False,False,Nom,Neut,Sing,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,γενέσει,(),False,x̓x,False,False,False,False,,,,,,,,,,,
γενέσει,γενέσει,γενέσις,γενέσει,σει,γ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,dep,0.0,νομίσας,"(μεταβολαῖς, προσένειμεν, ἐπεφήμισεν)",False,xxxx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,γενέσει,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
μεταβολαῖς,μεταβολαῖς,μεταβολαῖς,μεταβολαῖς,ῖς,μ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,γενέσει,"(γενέσει, προσένειμεν, ἐπεφήμισεν)",False,xxxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,,,
οὐδέποτε,οὐδέποτε,οὐδέποτε,οὐδέποτε,οτε,ο,-20.0,ADV,Df,,advmod,0.0,ὄν,(),False,xx̓xx́xxxx,False,False,False,False,,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ταὐτὰ,(),False,xxxx̀,False,False,False,False,,,,,,,,,,,
ταὐτὰ,ταὐτὰ,ταὐτὰ,ταὐτὰ,τὰ,τ,-20.0,PRON,Pd,Case=Acc|Gender=Neut|Number=Plur,obl,0.0,ὄν,(),False,xxx̓xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,,
ὄν,ὄν,ὄς,ὄν,̓́ν,ο,-20.0,AUX,v-sppann-,Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,cop,0.0,γενέσει,(),False,x̓́x,False,False,False,False,Nom,Neut,Sing,,Pres,Part,Act,,,,
—,—,—,-,—,—,-20.0,PUNCT,u--------,,punct,0.0,γενέσει,(),False,—,False,True,False,False,,,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,S-,"Case=Dat|Definite=Def|Gender=Masc,Neut|Number=Sing|PronType=Dem",iobj,0.0,προσένειμεν,(),False,xx͂ͅ,False,False,False,False,Dat,"Masc,Neut",Sing,,,,,Def,Dem,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,προσένειμεν,(),False,xx̀x,False,False,False,False,,,,,,,,,,,
ἀοράτῳ,ἀοράτῳ,ἀοράτῳ,ἀοράτῳ,τῳ,α,-20.0,ADJ,A-,Case=Dat|Degree=Sup|Gender=Masc|Number=Sing,iobj,0.0,προσένειμεν,"(νοητῷ,)",False,x̓xxx́xxͅ,False,False,False,False,Dat,Masc,Sing,Sup,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀοράτῳ,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
νοητῷ,νοητῷ,νοητῷ,νοητῷ,ῷ,ν,-20.0,ADJ,A-,Case=Dat|Degree=Pos|Gender=Masc|Number=Sing,conj,0.0,ἀοράτῳ,"(ἀοράτῳ,)",False,xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,Pos,,,,,,,
προσένειμεν,προσένειμεν,προσένειμεν,προσένειμεν,μεν,π,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,conj,0.0,γενέσει,"(γενέσει, μεταβολαῖς, ἐπεφήμισεν)",False,xxxx́xxxx,False,False,False,False,,,,,Past,Inf,Act,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,προσένειμεν,(),False,x̔x,False,False,False,False,,,,,,,,,,,
ἀδελφὸν,ἀδελφὸν,ἀδελφὸν,ἀδελφὸν,ὸν,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,προσένειμεν,"(συγγενὲς,)",False,x̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀδελφὸν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
συγγενὲς,συγγενὲς,συγγενὲς,συγγενὲς,ὲς,σ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἀδελφὸν,"(ἀδελφὸν,)",False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,,,
ἀιδιότητα,ἀιδιότητα,ἀιδιότης,ἀιδιότητα,ητα,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,προσένειμεν,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τῷ,(),False,",",False,True,False,False,,,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Definite=Def|Gender=Masc|Number=Sing|PronType=Dem,iobj,0.0,μεταβολαῖς,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,Def,Dem,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,C-,,cc,0.0,γενέσει,(),False,xx̀,False,False,False,False,,,,,,,,,,,
’,’,ά,',’,’,-20.0,CCONJ,C-,,cc,0.0,ὄνομα,(),False,’,False,True,False,False,,,,,,,,,,,
αἰσθητῷ,αἰσθητῷ,αἰσθητῷ,αἰσθητῷ,ῷ,α,-20.0,ADJ,A-,Case=Dat|Degree=Sup|Gender=Masc|Number=Sing,nmod,0.0,γένεσιν,(),False,xx̓xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,Sup,,,,,,,
γένεσιν,γένεσιν,γένες,γένεσιν,σιν,γ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,iobj,0.0,ἐπεφήμισεν,(),False,xx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,,,
οἰκεῖον,οἰκεῖον,οἰκεῖος,οἰκεῖον,͂ον,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,amod,0.0,ὄνομα,(),False,xx̓xxx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,,,
ὄνομα,ὄνομα,ὄνομα,ὄνομα,ομα,ο,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἐπεφήμισεν,(),False,x̓́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,
ἐπεφήμισεν,ἐπεφήμισεν,ἐπεφήμισεν,ἐπεφήμισεν,σεν,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,γενέσει,"(γενέσει, μεταβολαῖς, προσένειμεν)",False,x̓xxxx́xxxx,False,False,False,False,,,Sing,,Past,Fin,Act,,,Ind,3
