orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree
οὐκοῦν,οὐκοῦν,οὐκοῦν,οὐκοῦν,ῦν,ο,-20.0,ADV,d--------,,advmod,0.0,ἤρξατο,(),False,xx̓xxx͂x,False,False,False,False,,,,,,,,,,
ἤρξατο,ἤρξατο,ἤρξατο,ἤρξατο,ατο,η,-20.0,VERB,v3saim---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἤρξατο,"(ἔληξε,)",False,x̓́xxxx,False,False,False,False,Perf,Ind,Sing,3,Past,Fin,Mid,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἤρξατο,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,σπέρματος,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
σπέρματος,σπέρματος,σπέρμα,σπέρματος,τος,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,ἤρξατο,(),False,xxx́xxxx,False,False,False,False,,,Sing,,,,,Gen,Neut,
εὐτελοῦς,εὐτελοῦς,εὐτελοῦς,εὐτελοῦς,ῦς,ε,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,σπέρματος,(),False,xx̓xxxx͂x,False,False,False,False,,,Sing,,,,,Gen,Fem,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,φύσις,(),False,x̔,False,False,False,False,,,Sing,,,,,Nom,Fem,
φύσις,φύσις,φύσις,φύσις,σις,φ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἤρξατο,(),False,xx́xxx,False,False,False,False,,,Sing,,,,,Nom,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔληξε,(),False,",",False,True,False,False,,,,,,,,,,
ἔληξε,ἔληξε,ἔληξε,ἔληξε,ηξε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,ἤρξατο,"(ἤρξατο,)",False,x̓́xxxx,False,False,False,False,,Ind,Sing,3,Past,Fin,Act,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἤρξατο,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἔληξε,(),False,’,False,True,False,False,,,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,τιμιώτατον,(),False,xx̓x,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,τιμιώτατον,(),False,xx̀,False,False,False,False,,,Sing,,,,,Acc,Neut,
τιμιώτατον,τιμιώτατον,τιμιώτατον,τιμιώτατον,τον,τ,-20.0,ADJ,a-s---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Sing,obl,0.0,ἔληξε,(),False,xxxx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Neut,Sup
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κατασκευήν,(),False,",",False,True,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,κατασκευήν,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Fem,
ζῴου,ζῴου,ζῴου,ζῴου,ͅου,ζ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,κατασκευήν,"(ἀνθρώπου,)",False,xx́ͅxx,False,False,False,False,,,Sing,,,,,Gen,Neut,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ζῴου,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,που,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ζῴου,"(ζῴου,)",False,x̓xxxx́xxx,False,False,False,False,,,Sing,,,,,Gen,Masc,
κατασκευήν,κατασκευήν,κατασκευή,κατασκευήν,ήν,κ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,appos,0.0,τιμιώτατον,(),False,xxxx́x,False,False,False,False,,,Sing,,,,,Acc,Fem,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἤρξατο,(),False,.,False,True,False,False,,,,,,,,,,
