orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐμφέρειαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,εἰκαζέτω,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,μηδεὶς,(),False,’,False,True,False,False,,,,,,,,
ἐμφέρειαν,ἐμφέρειαν,ἐμφέρεια,ἐμφέρειαν,ιαν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,εἰκαζέτω,(),False,x̓xxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,
μηδεὶς,μηδεὶς,μηδεὶς,μηδεὶς,ὶς,μ,-20.0,ADJ,Px,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,εἰκαζέτω,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,
εἰκαζέτω,εἰκαζέτω,εἰκαζέτω,εἰκαζέτω,́τω,ε,-20.0,VERB,v3spma---,Mood=Imp|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,εἰκαζέτω,(),False,xx̓xxxx́xx,False,False,False,False,,,Sing,Imp,3,Pres,Fin,Act
σώματος,σώματος,σώματος,σώματος,τος,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,χαρακτῆρι,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,
χαρακτῆρι,χαρακτῆρι,χαρακτῆρι,χαρακτῆρι,͂ρι,χ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,εἰκαζέτω,(),False,xxxx͂xx,False,False,False,False,Dat,Masc,Sing,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,εἰκαζέτω,(),False,·,False,True,False,False,,,,,,,,
οὔτε,οὔτε,οὔτε,οὔτε,́τε,ο,-20.0,ADV,d--------,,advmod,0.0,ἀνθρωπόμορφος,(),False,xx̓́xx,False,False,False,False,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἀνθρωπόμορφος,(),False,xx̀x,False,False,False,False,,,,,,,,
ἀνθρωπόμορφος,ἀνθρωπόμορφος,ἀνθρωπόμορφος,ἀνθρωπόμορφος,φος,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,ἀνθρωπόμορφος,"(θεοειδὲς,)",False,x̓xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,θεὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀνθρωπόμορφος,(),False,xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,
οὔτε,οὔτε,οὔτε,οὔτε,́τε,ο,-20.0,CCONJ,c--------,,cc,0.0,ἀνθρωπόμορφος,(),False,xx̓́xx,False,False,False,False,,,,,,,,
θεοειδὲς,θεοειδὲς,θεοειδὲς,θεοειδὲς,ὲς,θ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,ἀνθρωπόμορφος,"(ἀνθρωπόμορφος,)",False,xxxx̀x,False,False,False,False,Nom,Neut,Sing,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,σῶμα,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,
ἀνθρώπειον,ἀνθρώπειον,ἀνθρώπειος,ἀνθρώπειον,ιον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nmod,0.0,σῶμα,(),False,x̓xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,
σῶμα,σῶμα,σῶμα,σῶμα,͂μα,σ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,θεοειδὲς,(),False,xx͂xx,False,False,False,False,Nom,Neut,Sing,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀνθρωπόμορφος,(),False,.,False,True,False,False,,,,,,,,
