orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Aspect,Tense,VerbForm,Voice,Mood,Person
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἀνάγκη,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,dep,0.0,ἀνάγκη,(),False,xx̀x,False,False,False,False,,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,ἀνάγκη,(),False,xx̓͂x,False,False,False,False,,,,,,,,,,
ἀληθεστάτην,ἀληθεστάτην,ἀληθεστάτην,ἀληθεστάτην,την,α,-20.0,ADJ,a-s---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,αἰτίαν,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Sing,Sup,,,,,,
αἰτίαν,αἰτίαν,αἰτία,αἰτίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,θεὸν,(),False,xx̓xx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
θεὸν,θεὸν,θεὸν,θεὸν,ὸν,θ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,ἀνάγκη,(),False,xxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἀνάγκη,ἀνάγκη,ἀνάγκη,ἀνάγκη,γκη,α,-20.0,NOUN,v3siia---,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἀνάγκη,"(ἀποκρυπτέον,)",False,x̓xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,εἰδέναι,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
εἰδέναι,εἰδέναι,εἰδέναι,εἰδέναι,ναι,ε,-20.0,VERB,v--rna---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Act,csubj,0.0,ἀνάγκη,(),False,xx̓xx́xxx,False,False,False,False,,,,,Perf,Past,Inf,Act,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὴν,(),False,",",False,True,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,θεὸν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,dep,0.0,ἀνάγκη,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἀποκρυπτέον,(),False,’,False,True,False,False,,,,,,,,,,
