orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Aspect,Mood,Person
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,πάντων,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
δὴ,δὴ,δὴ,δὴ,δὴ,δ,-20.0,ADV,d--------,,advmod,0.0,οἰκειότατον,(),False,xx̀,False,False,False,False,,,,,,,,,,
πάντων,πάντων,πάντων,πάντων,των,π,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,πατρὶ,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
πατρὶ,πατρὶ,πατρὶ,πατρὶ,ρὶ,π,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,dep,0.0,οἰκειότατον,(),False,xxxx̀,False,False,False,False,Dat,Masc,Sing,,,,,,,
θεῷ,θεῷ,θεῷ,θεῷ,ῷ,θ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,appos,0.0,πατρὶ,(),False,xxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ἀδιάφορα,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,οἰκειότατον,(),False,xx̀x,False,False,False,False,,,,,,,,,,
σπουδαῖα,σπουδαῖα,σπουδαῖος,σπουδαῖα,ῖα,σ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ποιεῖν,(),False,xxxx͂x,False,False,False,False,Acc,Neut,Plur,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,μόνου,(),False,xxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,αὑτοῦ,(),False,’,False,True,False,False,,,,,,,,,,
αὑτοῦ,αὑτοῦ,αὑτοῦ,αὑτοῦ,οῦ,α,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,μόνου,(),False,xx̔xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
μόνου,μόνου,μόνος,μόνου,νου,μ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,ποιεῖν,(),False,xx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
ποιεῖν,ποιεῖν,ποιεῖν,ποιεῖν,ῖν,π,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,advcl,0.0,οἰκειότατον,(),False,xxxx͂x,False,False,False,False,,,,Pres,Inf,Act,,,,
οἰκειότατον,οἰκειότατον,οἰκειός,οἰκειότατον,τον,ο,-20.0,ADJ,a-s---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Sing,ROOT,0.0,οἰκειότατον,"(ἀλλότριον, οἰκεῖον, ἀνοίκειον, οἰκεῖον, ἀνοίκειον)",False,xx̓xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,Sup,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,οἰκειότατον,(),False,x̓͂x,False,False,False,False,,,Sing,Past,Fin,Act,,Imp,Ind,3
ἕνεκα,ἕνεκα,ἕνεκα,ἕνεκα,εκα,ε,-20.0,ADP,R-,,case,0.0,συγγενείας,(),False,x̔́xxxx,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,συγγενείας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,αὐτὸν,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,ὸν,α,-20.0,PRON,p-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,συγγενείας,(),False,xx̓xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
συγγενείας,συγγενείας,συγγενεία,συγγενείας,́ας,σ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,οἰκειότατον,(),False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὰ,(),False,",",False,True,False,False,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ἀδιάφορα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,οἰκειότατον,(),False,xx̀,False,False,False,False,,,,,,,,,,
ἀδιάφορα,ἀδιάφορα,ἀδιάφορος,ἀδιάφορα,ορα,α,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ἀλλότριον,(),False,x̓xxx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἀλλότριον,(),False,xx̓,False,False,False,False,,,,,,,,,,
ἀλλότριον,ἀλλότριον,ἀλλότριος,ἀλλότριον,ιον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,οἰκειότατον,"(οἰκειότατον, οἰκεῖον, ἀνοίκειον, οἰκεῖον, ἀνοίκειον)",False,x̓xxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπειδὴ,(),False,",",False,True,False,False,,,,,,,,,,
ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,δὴ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἀμοιρεῖ,(),False,x̓xxxx̀,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ταῦτα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ταῦτα,ταῦτα,ταῦτα,ταῦτα,͂τα,τ,-20.0,ADJ,p-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ἀμοιρεῖ,(),False,xxx͂xx,False,False,False,False,Nom,Neut,Plur,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἐχθρᾶς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἐχθρᾶς,ἐχθρᾶς,ἐχθρᾶ,ἐχθρᾶς,ᾶς,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,ἀμοιρεῖ,(),False,x̓xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
αὐτῷ,αὐτῷ,αὐτῷ,αὐτῷ,ῷ,α,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ἀμοιρεῖ,(),False,xx̓xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
κακίας,κακίας,κακία,κακίας,́ας,κ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,ἀμοιρεῖ,(),False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀμοιρεῖ,ἀμοιρεῖ,ἀμοιρεῖ,ἀμοιρεῖ,εῖ,α,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ἀλλότριον,(),False,x̓xxxx͂,False,False,False,False,,,Sing,Past,Fin,Act,,Imp,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὰ,(),False,",",False,True,False,False,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ἀδιάφορα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
