orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree,PronType
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,ἀνῃρημένου,(),False,xx̓,False,False,False,False,,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐξευμαρισθεῖεν,(),False,xx̀,False,False,False,False,,,,,,,,,,,
σωφροσύνῃ,σωφροσύνῃ,σωφροσύνῃ,σωφροσύνῃ,νῃ,σ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἐξευμαρισθεῖεν,(),False,xxxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐξευμαρισθεῖεν,(),False,xx̀x,False,False,False,False,,,,,,,,,,,
ἐξευμαρισθεῖεν,ἐξευμαρισθεῖεν,ἐξευμαρισθεῖεν,ἐξευμαρισθεῖεν,͂εν,ε,-20.0,VERB,v3paop---,Mood=Opt|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,ROOT,0.0,ἐξευμαρισθεῖεν,"(σπουδαί, φιλοτιμίαι, φράσαι)",False,x̓xxxx͂xx,False,False,False,False,,,Plur,Opt,3,Past,Fin,Pass,,,
αἱ,αἱ,αἱ,αἱ,αἱ,α,-20.0,DET,l-p---fn-,Case=Nom|Gender=Fem|Number=Plur,det,0.0,ὁρμαί,(),False,xx̔,False,False,False,False,Nom,Fem,Plur,,,,,,,,
ἄμετροι,ἄμετροι,ἄμετρος,ἄμετροι,ροι,α,-20.0,ADJ,a-p---fn-,Case=Nom|Gender=Fem|Number=Plur,nmod,0.0,ὁρμαί,(),False,x̓́xxxx,False,False,False,False,Nom,Fem,Plur,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,S-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,παθῶν,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,,
παθῶν,παθῶν,παθῶν,παθῶν,ῶν,π,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ὁρμαί,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,,
ὁρμαί,ὁρμαί,ὁρμαί,ὁρμαί,αί,ο,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,nsubj,0.0,ἐξευμαρισθεῖεν,(),False,x̔xxxx́,False,False,False,False,Nom,Fem,Plur,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δικαιοσύνῃ,(),False,",",False,True,False,False,,,,,,,,,,,
δικαιοσύνῃ,δικαιοσύνῃ,δικαιοσύνῃ,δικαιοσύνῃ,νῃ,δ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,σπουδαί,(),False,xxxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,ἐξευμαρισθεῖεν,(),False,xx̀,False,False,False,False,,,,,,,,,,,
αἱ,αἱ,αἱ,αἱ,αἱ,α,-20.0,DET,l-p---fn-,Case=Nom|Gender=Fem|Number=Plur,det,0.0,σπουδαί,(),False,xx̔,False,False,False,False,Nom,Fem,Plur,,,,,,,,
περὶ,περὶ,περὶ,περὶ,ρὶ,π,-20.0,ADP,r--------,,case,0.0,τἀδικεῖν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,,
τἀδικεῖν,τἀδικεῖν,τἀδικεῖν,τἀδικεῖν,ῖν,τ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,nmod,0.0,σπουδαί,(),False,xx̓xxxx͂x,False,False,False,False,,,,,,Pres,Inf,Act,,,
σπουδαί,σπουδαί,σπουδαί,σπουδαί,αί,σ,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,ἐξευμαρισθεῖεν,"(ἐξευμαρισθεῖεν, φιλοτιμίαι, φράσαι)",False,xxxx́,False,False,False,False,Nom,Fem,Plur,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,σπουδαί,(),True,xx,True,False,False,False,,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σπουδαί,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
φιλοτιμίαι,φιλοτιμίαι,φιλοτιμία,φιλοτιμίαι,́αι,φ,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,σπουδαί,"(ἐξευμαρισθεῖεν, σπουδαί, φράσαι)",False,xxxx́xx,False,False,False,False,Nom,Fem,Plur,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σπουδαί,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
