orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,PronType,Tense,VerbForm,Voice,Mood,Person,Aspect,Degree
παρὰ,παρὰ,παρὰ,παρὰ,ρὰ,π,-20.0,ADP,r--------,,case,0.0,αἰτίαν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,αἰτίαν,(),False,’,False,True,False,False,,,,,,,,,,,
ἣν,ἣν,ἣν,ἣν,̔̀ν,η,-20.0,PRON,Pr,Case=Acc|Gender=Fem|Number=Sing|PronType=Rel,nmod,0.0,αἰτίαν,(),False,x̔̀x,False,False,False,False,Acc,Fem,Sing,Rel,,,,,,,
αἰτίαν,αἰτίαν,αἰτία,αἰτίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,καθίστη,(),False,xx̓xx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,γεννήσας,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
γεννήσας,γεννήσας,γεννήω,γεννήσας,σας,γ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,καθίστη,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,Past,Part,Act,,,,
αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,ὸν,α,-20.0,PRON,p-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,γεννήσας,(),False,xx̓xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,πατὴρ,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,,
πατὴρ,πατὴρ,πατὴρ,πατὴρ,ὴρ,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,καθίστη,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,,
ἡγεμονικὸν,ἡγεμονικὸν,ἡγεμονικὸς,ἡγεμονικὸν,ὸν,η,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,xcomp,0.0,ζῷον,(),False,x̔xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,,,
