orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree,Definite,PronType,Reflex
ἔδει,ἔδει,ἔδει,ἔδει,δει,ε,-20.0,VERB,V-,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔδει,(),False,x̓́xxx,False,False,False,False,Imp,Ind,Sing,3,Past,Fin,Act,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἔδει,(),False,xx̀x,False,False,False,False,,,,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,κόσμον,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
κόσμον,κόσμον,κόσμος,κόσμον,μον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,παγῆναι,(),False,xx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
τελειότατον,τελειότατον,τελειός,τελειότατον,τον,τ,-20.0,ADJ,a-s---mas,Case=Acc|Degree=Sup|Gender=Masc|Number=Sing,dep,0.0,παγῆναι,(),False,xxxx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc,Sup,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,cc,0.0,παγῆναι,(),False,xx̀x,False,False,False,False,,,,,,,,,,,,,
ὄνια,ὄνια,ὄνια,ὄνια,νια,ο,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,παγῆναι,(),False,x̓́xxx,False,False,False,False,,,Plur,,,,,Acc,Neut,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,S-,Case=Gen|Definite=Def|Number=Plur|PronType=Dem,det,0.0,γεγονότων,(),False,xx͂x,False,False,False,False,,,Plur,,,,,Gen,,,Def,Dem,
γεγονότων,γεγονότων,γεγονότων,γεγονότων,των,γ,-20.0,VERB,v-pppang-,Case=Gen|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ὄνια,(),False,xxxx́xxx,False,False,False,False,,,Plur,,Pres,Part,Act,Gen,Neut,,,,
κατά,κατά,κατά,κατά,τά,κ,-20.0,ADP,r--------,,case,0.0,ἀριθμὸν,(),False,xxxx́,False,False,False,False,,,,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,R-,,case,0.0,ἀριθμὸν,(),False,’,False,True,False,False,,,,,,,,,,,,,
