orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Degree,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect
σαφεστάτη,σαφεστάτη,σαφεστάτη,σαφεστάτη,́τη,σ,-20.0,ADJ,a-s---fns,Case=Nom|Degree=Sup|Gender=Fem|Number=Sing,advmod,0.0,’,(),False,xxxx́xx,False,False,False,False,Nom,Sup,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,σαφεστάτη,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,πίστις,(),False,’,False,True,False,False,,,,,,,,,,
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,ἀριθμοὶ,(),False,xx̔,False,False,False,False,Nom,,Masc,Plur,,,,,,
λεχθέντες,λεχθέντες,λεχθέντες,λεχθέντες,τες,λ,-20.0,VERB,v-pappmn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,ἀριθμοὶ,(),False,xxxx́xxxx,False,False,False,False,Nom,,Masc,Plur,Past,Part,Pass,,,
ἀριθμοὶ,ἀριθμοὶ,ἀριθμοὶ,ἀριθμοὶ,οὶ,α,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,πίστις,(),False,x̓xxxx̀,False,False,False,False,Nom,,Masc,Plur,,,,,,
πίστις,πίστις,πίστις,πίστις,τις,π,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,πίστις,(),False,xx́xxxx,False,False,False,False,Nom,,Fem,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,πίστις,(),False,·,False,True,False,False,,,,,,,,,,
αὐτίκα,αὐτίκα,αὐτίκα,αὐτίκα,́κα,α,-20.0,ADV,d--------,,advmod,0.0,ὀκτὼ,(),False,xx̓xx́xx,False,False,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,παραυξηθεὶς,(),False,x̔,False,False,False,False,Nom,,Masc,Sing,,,,,,
