orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree
μεταβατέον,μεταβατέον,μεταβατέιος,μεταβατέον,́ον,μ,-20.0,VERB,V-,Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,ROOT,0.0,μεταβατέον,(),False,xxxx́xx,False,False,False,False,Nom,Neut,Sing,Pres,Part,Act,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,μεταβατέον,(),False,xx̀,False,False,False,False,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,μεταβατέον,(),False,xxx̀,False,False,False,False,,,,,,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,εἶδος,(),False,x̓xx̀,False,False,False,False,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,εἶδος,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,
ἑτέρον,ἑτέρον,ἑτέρος,ἑτέρον,ρον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,amod,0.0,εἶδος,(),False,x̔xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,
ἑβδομάδος,ἑβδομάδος,ἑβδομάδο,ἑβδομάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,εἶδος,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,
εἶδος,εἶδος,εἶδος,εἶδος,δος,ε,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,μεταβατέον,(),False,xx̓͂xxx,False,False,False,False,Acc,Neut,Sing,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,περιεχόμενον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,
περιεχόμενον,περιεχόμενον,περιεχόμενον,περιεχόμενον,νον,π,-20.0,VERB,v-sppena-,Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,εἶδος,(),False,xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,Pres,Part,Mid,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,δεκάδι,(),False,x̓x,False,False,False,False,,,,,,,
δεκάδι,δεκάδι,δεκάς,δεκάδι,́δι,δ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,περιεχόμενον,(),False,xxxx́xx,False,False,False,False,Dat,Fem,Sing,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπιδεικνύμενον,(),False,",",False,True,False,False,,,,,,,
θαυμαστὴν,θαυμαστὴν,θαυμαστὴν,θαυμαστὴν,ὴν,θ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,amod,0.0,φύσιν,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,
ἐπιδεικνύμενον,ἐπιδεικνύμενον,ἐπιδεικνύμενον,ἐπιδεικνύμενον,νον,ε,-20.0,VERB,v-sppena-,Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,μεταβατέον,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,Pres,Part,Mid,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,φύσιν,(),False,xxx̀,False,False,False,False,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἐλάττονα,(),False,xx̓,False,False,False,False,,,,,,,
ἐλάττονα,ἐλάττονα,ἐλάττων,ἐλάττονα,ονα,ε,-20.0,ADJ,a-p---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Plur,amod,0.0,φύσιν,(),False,x̓xx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,Cmp
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,προτέρου,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,
προτέρου,προτέρου,προτέρου,προτέρου,ρου,π,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,ἐλάττονα,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,
φύσιν,φύσιν,φύσις,φύσιν,σιν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐπιδεικνύμενον,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,μεταβατέον,(),False,.,False,True,False,False,,,,,,,
