orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
συνεστῶσα,συνεστῶσα,συνεστῶσα,συνεστῶσα,͂σα,σ,-20.0,VERB,v-sapafn-,Aspect=Perf|Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,παρέχεται,(),False,xxxx͂xx,False,False,False,False,Perf,Nom,Fem,Sing,Past,Part,Act,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,παρέχεται,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,τριάδος,(),False,x̓x,False,False,False,False,,,,,,,,,
τριάδος,τριάδος,τριάδος,τριάδος,δος,τ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,τὸ,"(τετράδος,)",False,xxxx́xxx,False,False,False,False,,Gen,Fem,Sing,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τριάδος,(),False,xxx̀,False,False,False,False,,,,,,,,,
τετράδος,τετράδος,τετράς,τετράδος,δος,τ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,τριάδος,"(τριάδος,)",False,xxxx́xxx,False,False,False,False,,Gen,Fem,Sing,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ἀκλινὲς,(),False,xx̀,False,False,False,False,,Acc,Neut,Sing,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἀκλινὲς,(),False,x̓x,False,False,False,False,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,οὖσι,(),False,xxx͂x,False,False,False,False,,Dat,Neut,Plur,,,,,
οὖσι,οὖσι,οὖσι,οὖσι,͂σι,ο,-20.0,AUX,v-pppand-,Case=Dat|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,cop,0.0,ἀκλινὲς,(),False,xx̓͂xx,False,False,False,False,,Dat,Neut,Plur,Pres,Part,Act,,
ἀκλινὲς,ἀκλινὲς,ἀκλινὲς,ἀκλινὲς,ὲς,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,ccomp,0.0,παρέχεται,(),False,x̓xxxx̀x,False,False,False,False,,Acc,Neut,Sing,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀκλινὲς,(),False,xxx̀,False,False,False,False,,,,,,,,,
ὀρθὸν,ὀρθὸν,ὀρθὸν,ὀρθὸν,ὸν,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,παρέχεται,(),False,x̓xxx̀x,False,False,False,False,,Acc,Neut,Sing,,,,,
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obj,0.0,παρέχεται,(),False,xx́xxx,False,False,False,False,,Dat,Fem,Sing,,,,,
παρέχεται,παρέχεται,παρέχω,παρέχεται,ται,π,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,παρέχεται,(),False,xxxx́xxxx,False,False,False,False,,,,Sing,Pres,Fin,Mid,Ind,3
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,παρέχεται,(),False,·,False,True,False,False,,,,,,,,,
ὃν,ὃν,ὃν,ὃν,̔̀ν,ο,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,τρόπον,(),False,x̔̀x,False,False,False,False,,Acc,Masc,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,δηλωτέον,(),False,xx̀,False,False,False,False,,,,,,,,,
τρόπον,τρόπον,τρόπος,τρόπον,πον,τ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,δηλωτέον,(),False,xxx́xxx,False,False,False,False,,Acc,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τρόπον,(),False,",",False,True,False,False,,,,,,,,,
δηλωτέον,δηλωτέον,δηλωτέον,δηλωτέον,́ον,δ,-20.0,VERB,v3spma---,Mood=Imp|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,δηλωτέον,(),False,xxxx́xx,False,False,False,False,,,,Sing,Pres,Fin,Act,Imp,3
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,δηλωτέον,(),False,.,False,True,False,False,,,,,,,,,
