orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Mood,Person
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,εἰρημένοις,(),False,xxx̀x,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,λέγοιτε,(),False,xx̀,False,False,False,False,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,εἰρημένοις,(),False,xxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,
εἰρημένοις,εἰρημένοις,εἰρημένοις,εἰρημένοις,οις,ε,-20.0,VERB,v-prpend-,Aspect=Perf|Case=Dat|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Mid,obl,0.0,λέγοιτε,(),False,xx̓xxxx́xxxx,False,False,False,False,Dat,Neut,Plur,Perf,Past,Part,Mid,,
κἀκεῖνο,κἀκεῖνο,κἀκεῖνος,κἀκεῖνο,͂νο,κ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,λέγοιτε,(),False,xx̓xxx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,
λέγοιτε,λέγοιτε,λέγοιτε,λέγοιτε,ιτε,λ,-20.0,VERB,v2spoa---,Mood=Opt|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,λέγοιτε,(),False,xx́xxxx,False,False,False,False,,,Sing,,Pres,Fin,Act,Opt,2
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,λέγοιτο᾽,(),False,",",False,True,False,False,,,,,,,,,
λέγοιτο᾽,λέγοιτο᾽,λέγοιτο᾽,λέγοιτο᾽,το᾽,λ,-20.0,PUNCT,V-,,dep,0.0,λέγοιτε,(),False,xx́xxxx᾽,False,False,False,False,,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,λέγοιτε,(),False,x̓́x,False,False,False,False,,,,,,,,,
δεόντως,δεόντως,δεόντως,δεόντως,τως,δ,-20.0,ADV,d--------,,advmod,0.0,λέγοιτε,(),False,xxx́xxxx,False,False,False,False,,,,,,,,,
