orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Degree
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,κινήσεως,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,γεννώμενον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
γεννώμενον,γεννώμενον,γεννώω,γεννώμενον,νον,γ,-20.0,VERB,v-sppenn-,Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,nsubj,0.0,κινήσεως,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,Pres,Part,Mid,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,κινήσεως,(),False,xx̓,False,False,False,False,,,,,,,,,
ἄνευ,ἄνευ,ἄνευ,ἄνευ,νευ,α,-20.0,ADP,r--------,,case,0.0,κινήσεως,(),False,x̓́xxx,False,False,False,False,,,,,,,,,
κινήσεως,κινήσεως,κινήσεως,κινήσεως,εως,κ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,ROOT,0.0,κινήσεως,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γεννήσῃ,(),False,",",False,True,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,γεννήσῃ,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,γεννήσῃ,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἵνα,ἵνα,ἵνα,ἵνα,́να,ι,-20.0,SCONJ,c--------,,mark,0.0,γεννήσῃ,(),False,x̔́xx,False,False,False,False,,,,,,,,,
γεννήσῃ,γεννήσῃ,γεννήσῃ,γεννήσῃ,σῃ,γ,-20.0,VERB,v3sasa---,Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,κινήσεως,"(γεννηθῇ,)",False,xxxx́xxͅ,False,False,False,False,,,Sing,Past,Fin,Act,Sub,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὸ,(),False,",",False,True,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,γεννηθῇ,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,PART,g--------,,cc,0.0,γεννήσῃ,(),False,xx̀,False,False,False,False,,,,,,,,,
ἵνα,ἵνα,ἵνα,ἵνα,́να,ι,-20.0,SCONJ,c--------,,mark,0.0,γεννηθῇ,(),False,x̔́xx,False,False,False,False,,,,,,,,,
γεννηθῇ,γεννηθῇ,γεννηθῇ,γεννηθῇ,ῇ,γ,-20.0,VERB,v3sasp---,Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,conj,0.0,γεννήσῃ,"(γεννήσῃ,)",False,xxxx͂ͅ,False,False,False,False,,,Sing,Past,Fin,Pass,Sub,3,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,κινήσεως,(),False,·,False,True,False,False,,,,,,,,,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,εἰκὼν,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,λέγοιτε,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἑβδομάς,(),False,’,False,True,False,False,,,,,,,,,
οὔτε,οὔτε,οὔτε,οὔτε,́τε,ο,-20.0,ADV,d--------,,advmod,0.0,κινοῦν,(),False,xx̓́xx,False,False,False,False,,,,,,,,,
κινοῦν,κινοῦν,κινοῦν,κινοῦν,ῦν,κ,-20.0,VERB,v-sppana-,Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,λέγοιτε,"(κινούμενον, ἄρχων, ἡγεμών)",False,xxxx͂x,False,False,False,False,Acc,Neut,Sing,Pres,Part,Act,,,
οὔτε,οὔτε,οὔτε,οὔτε,́τε,ο,-20.0,CCONJ,c--------,,cc,0.0,κινοῦν,(),False,xx̓́xx,False,False,False,False,,,,,,,,,
κινούμενον,κινούμενον,κινούμενον,κινούμενον,νον,κ,-20.0,VERB,v-sppenn-,Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,conj,0.0,κινοῦν,"(κινοῦν, ἄρχων, ἡγεμών)",False,xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,Pres,Part,Mid,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἄρχων,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
πρεσβύτερος,πρεσβύτερος,πρεσβύς,πρεσβύτερος,ρος,π,-20.0,ADJ,a-s---mnc,Case=Nom|Degree=Cmp|Gender=Masc|Number=Sing,nmod,0.0,ἄρχων,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,Cmp
ἄρχων,ἄρχων,ἄρχων,ἄρχων,χων,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,κινοῦν,"(κινοῦν, κινούμενον, ἡγεμών)",False,x̓́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄρχων,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἡγεμών,ἡγεμών,ἡγεμών,ἡγεμών,ών,η,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἄρχων,"(κινοῦν, κινούμενον, ἄρχων)",False,x̔xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄρχων,(),False,",",False,True,False,False,,,,,,,,,
οὗ,οὗ,οὗ,οὗ,ὗ,ο,-20.0,ADV,d--------,,advmod,0.0,λέγοιτε,(),False,xx̔͂,False,False,False,False,,,,,,,,,
λέγοιτε,λέγοιτε,λέγοιτε,λέγοιτε,ιτε,λ,-20.0,VERB,V-,Mood=Opt|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,λέγοιτε,(),False,xx́xxxx,False,False,False,False,,,Plur,Pres,Fin,Act,Opt,2,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,λέγοιτο᾽,(),False,",",False,True,False,False,,,,,,,,,
λέγοιτο᾽,λέγοιτο᾽,λέγοιτο᾽,λέγοιτο᾽,το᾽,λ,-20.0,PUNCT,V-,,dep,0.0,λέγοιτε,(),False,xx́xxxx᾽,False,False,False,False,,,,,,,,,
ἂν,ἂν,ἂν,ἂν,̓̀ν,α,-20.0,ADV,d--------,,advmod,0.0,εἰκὼν,(),False,x̓̀x,False,False,False,False,,,,,,,,,
προσηκόντως,προσηκόντως,προσηκόντως,προσηκόντως,τως,π,-20.0,ADV,d--------,,advmod,0.0,εἰκὼν,(),False,xxxx́xxxx,False,False,False,False,,,,,,,,,
εἰκὼν,εἰκὼν,εἰκὼ,εἰκὼν,ὼν,ε,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,λέγοιτε,(),False,xx̓xx̀x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,
ἑβδομάς,ἑβδομάς,ἑβδομάς,ἑβδομάς,άς,ε,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,εἰκὼν,(),False,x̔xxxx́x,False,False,False,False,Acc,Fem,Plur,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,λέγοιτε,(),False,.,False,True,False,False,,,,,,,,,
