orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Case,Gender,Number,Tense,VerbForm,Voice,Definite,PronType,Mood,Person,Degree,Polarity
προλαβὼν,προλαβὼν,προλαβὼ,προλαβὼν,ὼν,π,-20.0,VERB,v-sapamn-,Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,θεὸς,(),False,xxxx̀x,False,False,False,False,Perf,Nom,Masc,Sing,Past,Part,Act,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,θεὸς,(),False,xx̀x,False,False,False,False,,,,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,S-,Case=Nom|Definite=Def|Gender=Masc|Number=Sing|PronType=Dem,det,0.0,θεὸς,(),False,x̔,False,False,False,False,,Nom,Masc,Sing,,,,Def,Dem,,,,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,θεὸς,(),False,xxx̀x,False,False,False,False,,Nom,Masc,Sing,,,,,,,,,
ὅτε,ὅτε,ὅτε,ὅτε,́τε,ο,-20.0,ADV,d--------,,advmod,0.0,θεὸς,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,,,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,Nb,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,θεὸς,(),False,xxx̀x,False,False,False,False,,Nom,Masc,Sing,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,G-,,mark,0.0,γένοιτο,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,,,
μίμημα,μίμημα,μίμημα,μίμημα,ημα,μ,-20.0,NOUN,Nb,Case=Nom|Gender=Neut|Number=Sing,xcomp,0.0,γένοιτο,(),False,xx́xxxx,False,False,False,False,,Nom,Neut,Sing,,,,,,,,,
καλὸν,καλὸν,καλὸς,καλὸν,ὸν,κ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nmod,0.0,μίμημα,(),False,xxxx̀x,False,False,False,False,,Nom,Neut,Sing,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,γένοιτο,(),False,xx̓,False,False,False,False,,,,,,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,γένοιτο,(),False,x̓́x,False,False,False,False,,,,,,,,,,,,,
ποτε,ποτε,ποτε,ποτε,οτε,π,-20.0,ADV,d--------,,advmod,0.0,γένοιτο,(),False,xxxx,True,False,False,False,,,,,,,,,,,,,
γένοιτο,γένοιτο,γένλυμι,γένοιτο,ιτο,γ,-20.0,VERB,v3saom---,Mood=Opt|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,advcl,0.0,θεὸς,"(προεξετύπου,)",False,xx́xxxx,False,False,False,False,,,,Sing,Past,Fin,Mid,,,Opt,3,,
δίχα,δίχα,δίχα,δίχα,́χα,δ,-20.0,ADP,R-,,case,0.0,παραδείγματος,(),False,xx́xx,False,False,False,False,,,,,,,,,,,,,
καλοῦ,καλοῦ,καλοῦ,καλοῦ,οῦ,κ,-20.0,ADJ,A-,"Case=Gen|Degree=Pos|Gender=Masc,Neut|Number=Sing",amod,0.0,παραδείγματος,"(νοητά.,)",False,xxxx͂,False,False,False,False,,Gen,"Masc,Neut",Sing,,,,,,,,Pos,
παραδείγματος,παραδείγματος,παραδείγματος,παραδείγματος,τος,π,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,γένοιτο,(),False,xxxx́xxxx,False,False,False,False,,Gen,Neut,Sing,,,,,,,,,
οὐδέ,οὐδέ,οὐδέ,οὐδέ,δέ,ο,-20.0,CCONJ,C-,,cc,0.0,γένοιτο,(),False,xx̓xx́,False,False,False,False,,,,,,,,,,,,,
τι,τι,τὶς,τι,τι,τ,-20.0,ADJ,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,προεξετύπου,(),True,xx,True,False,False,False,,Nom,Neut,Sing,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,αἰσθητῶν,(),False,xx͂x,False,False,False,False,,Gen,Neut,Plur,,,,,,,,,
αἰσθητῶν,αἰσθητῶν,αἰσθητῶν,αἰσθητῶν,ῶν,α,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἀνυπαίτιον,(),False,xx̓xxxx͂x,False,False,False,False,,Gen,Neut,Plur,,,,,,,,,
ἀνυπαίτιον,ἀνυπαίτιον,ἀνυπαίτιος,ἀνυπαίτιον,ιον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nmod,0.0,τι,(),False,x̓xxxx́xxxx,False,False,False,False,,Nom,Neut,Sing,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀπεικονίσθη,(),False,",",False,True,False,False,,,,,,,,,,,,,
ὃ,ὃ,ὃ,ὃ,ὃ,ο,-20.0,PRON,Pr,Case=Nom|Gender=Neut|Number=Sing|PronType=Rel,nsubj,0.0,ἀπεικονίσθη,(),False,x̔̀,False,False,False,False,,Nom,Neut,Sing,,,,,Rel,,,,
μὴ,μὴ,μὴ,μὴ,μὴ,μ,-20.0,ADV,d--------,Polarity=Neg,advmod,0.0,ἀπεικονίσθη,(),False,xx̀,False,False,False,False,,,,,,,,,,,,,Neg
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἀρχέτυπον,(),False,xxx̀x,False,False,False,False,,,,,,,,,,,,,
ἀρχέτυπον,ἀρχέτυπον,ἀρχέτυπος,ἀρχέτυπον,πον,α,-20.0,ADJ,a-s---fa-,Case=Acc|Degree=Pos|Number=Sing,obl,0.0,ἀπεικονίσθη,"(ἰδέαν,)",False,x̓xxx́xxxx,False,False,False,False,,Acc,,Sing,,,,,,,,Pos,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀρχέτυπον,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
νοητὴν,νοητὴν,νοητὴν,νοητὴν,ὴν,ν,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἰδέαν,(),False,xxxx̀x,False,False,False,False,,Acc,Fem,Sing,,,,,,,,,
ἰδέαν,ἰδέαν,ἰδέα,ἰδέαν,́αν,ι,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἀρχέτυπον,"(ἀρχέτυπον,)",False,x̓xx́xx,False,False,False,False,,Acc,Fem,Sing,,,,,,,,,
