orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Degree,Mood,Person
δίχα,δίχα,δίχα,δίχα,́χα,δ,-20.0,ADP,r--------,,case,0.0,εἰρημένων,(),False,xx́xx,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,παριστᾶσι,(),False,xx̀,False,False,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,εἰρημένων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
εἰρημένων,εἰρημένων,εἰρημένων,εἰρημένων,νων,ε,-20.0,VERB,v-prpeng-,Aspect=Perf|Case=Gen|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Mid,obl,0.0,παριστᾶσι,(),False,xx̓xxxx́xxx,False,False,False,False,Gen,Neut,Plur,Perf,Past,Part,Mid,,,
ἐναργέστατα,ἐναργέστατα,ἐναργέστερος,ἐναργέστατα,ατα,ε,-20.0,ADJ,a-p---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Plur,nsubj,0.0,παριστᾶσι,"(ἡλικίαι,)",False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,Sup,,
παριστᾶσι,παριστᾶσι,παριστᾶσι,παριστᾶσι,͂σι,π,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,παριστᾶσι,(),False,xxxx͂xx,False,False,False,False,,,Plur,,Pres,Fin,Act,,Ind,3
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,δύναμιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
τελεσφόρον,τελεσφόρον,τελεσφόρος,τελεσφόρον,ρον,τ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,δύναμιν,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
δύναμιν,δύναμιν,δύναμις,δύναμιν,μιν,δ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,παριστᾶσι,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἑβδομάδος,ἑβδομάδος,ἑβδομάδο,ἑβδομάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,δύναμιν,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,παριστᾶσι,(),False,xxx̀,False,False,False,False,,,,,,,,,,
αἱ,αἱ,αἱ,αἱ,αἱ,α,-20.0,DET,l-p---fn-,Case=Nom|Gender=Fem|Number=Plur,det,0.0,ἡλικίαι,(),False,xx̔,False,False,False,False,Nom,Fem,Plur,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,βρέφους,(),False,x̓x,False,False,False,False,,,,,,,,,,
βρέφους,βρέφους,βρέφος,βρέφους,ους,β,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἡλικίαι,(),False,xxx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
ἄχρι,ἄχρι,ἄχρι,ἄχρι,χρι,α,-20.0,ADP,r--------,,case,0.0,γήρως,(),False,x̓́xxx,False,False,False,False,,,,,,,,,,
γήρως,γήρως,γήρως,γήρως,ρως,γ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἡλικίαι,(),False,xx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
ἀνθρώπων,ἀνθρώπων,ἀνθρώπων,ἀνθρώπων,πων,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,γήρως,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἡλικίαι,ἡλικίαι,ἡλικία,ἡλικίαι,́αι,η,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,ἐναργέστατα,"(ἐναργέστατα,)",False,x̔xxxx́xx,False,False,False,False,Nom,Fem,Plur,,,,,,,
μετρούμεναι,μετρούμεναι,μετρούμεναι,μετρούμεναι,ναι,μ,-20.0,VERB,v-pppefn-,Case=Nom|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,παριστᾶσι,(),False,xxxx́xxxx,False,False,False,False,Nom,Fem,Plur,,Pres,Part,Mid,,,
ταύτῃ,ταύτῃ,ταύτῃ,ταύτῃ,τῃ,τ,-20.0,PRON,p-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obj,0.0,μετρούμεναι,(),False,xxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,παριστᾶσι,(),False,·,False,True,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἔκφυσις,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἔκφυσις,(),False,xx̀x,False,False,False,False,,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,ἔκφυσις,(),False,xx̓͂x,False,False,False,False,,,,,,,,,,
