orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Degree,Gender,Number,PronType,Mood,Person,Tense,VerbForm,Voice
ἁρμονικῆς,ἁρμονικῆς,ἁρμονικῆς,ἁρμονικῆς,ῆς,α,-20.0,ADJ,a-s---fg-,Case=Gen|Degree=Pos|Gender=Fem|Number=Sing,amod,0.0,κρίσις,(),False,x̔xxxx͂x,False,False,False,False,Gen,Pos,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἁρμονικῆς,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,case,0.0,ἀναλογίας,(),False,’,False,True,False,False,,,,,,,,,,
ἀναλογίας,ἀναλογίας,ἀναλογία,ἀναλογίας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,διττὴ,(),False,x̓xxxx́xx,False,False,False,False,Gen,,Fem,Sing,,,,,,
διττὴ,διττὴ,διττὴ,διττὴ,τὴ,δ,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,amod,0.0,κρίσις,(),False,xxxx̀,False,False,False,False,Nom,,Fem,Sing,,,,,,
κρίσις,κρίσις,κρίσις,κρίσις,σις,κ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,κρίσις,(),False,xxx́xxx,False,False,False,False,Nom,,Fem,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,ROOT,0.0,·,(),False,·,False,True,False,False,,,,,,,,,,
μία,μία,μία,μία,ία,μ,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,μία,(),False,xx́x,False,False,False,False,Nom,,Fem,Sing,,,,,,
μέν,μέν,μέν,μέν,έν,μ,-20.0,ADV,d--------,,advmod,0.0,ἔχῃ,(),False,xx́x,False,False,False,False,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔχει,(),False,",",False,True,False,False,,,,,,,,,,
ὅταν,ὅταν,ὅταν,ὅταν,ταν,ο,-20.0,ADV,Dq,PronType=Rel,advmod,0.0,ἔχει,(),False,x̔́xxx,False,False,False,False,,,,,Rel,,,,,
ὃν,ὃν,ὃν,ὃν,̔̀ν,ο,-20.0,PRON,Pr,Case=Acc|Gender=Masc|Number=Sing|PronType=Rel,nmod,0.0,λόγον,(),False,x̔̀x,False,False,False,False,Acc,,Masc,Sing,Rel,,,,,
λόγον,λόγον,λόγος,λόγον,γον,λ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἔχει,(),False,xx́xxx,False,False,False,False,Acc,,Masc,Sing,,,,,,
ἔχει,ἔχει,ἔχω,ἔχει,χει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,ἔχῃ,(),False,x̓́xxx,False,False,False,False,,,,Sing,,Ind,3,Pres,Fin,Act
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἔσχατος,(),False,x̔,False,False,False,False,Nom,,Masc,Sing,,,,,,
ἔσχατος,ἔσχατος,ἔσχατος,ἔσχατος,τος,ε,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἔχει,(),False,x̓́xxxx,False,False,False,False,Nom,,Masc,Sing,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,πρῶτον,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,πρῶτον,(),False,xx̀x,False,False,False,False,Acc,,Masc,Sing,,,,,,
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,τοῦτον,(),False,xxx͂xxx,False,False,False,False,Acc,,Masc,Sing,,,,,,
τοῦτον,τοῦτον,τοῦτος,τοῦτον,τον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἔχει,(),False,xxx͂xxx,False,False,False,False,Acc,,Masc,Sing,,,,,,
ἔχῃ,ἔχῃ,ἔχῃ,ἔχῃ,χῃ,ε,-20.0,VERB,v3spsa---,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ccomp,0.0,μία,"(ὑπερέχει,)",False,x̓́xxͅ,False,False,False,False,,,,Sing,,Sub,3,Pres,Fin,Act
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ὑπεροχὴ,(),False,x̔,False,False,False,False,Nom,,Fem,Sing,,,,,,
ὑπεροχὴ,ὑπεροχὴ,ὑπεροχὴ,ὑπεροχὴ,χὴ,υ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἔχῃ,(),False,x̔xxxx̀,False,False,False,False,Nom,,Fem,Sing,,,,,,
ᾗ,ᾗ,ᾗ,ᾗ,̔͂ͅ,η,-20.0,CCONJ,d--------,,cc,0.0,ἔχῃ,(),False,x̔͂ͅ,False,False,False,False,,,,,,,,,,
ὑπερέχει,ὑπερέχει,ὑπερέχω,ὑπερέχει,χει,υ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,ἔχῃ,"(ἔχῃ,)",False,x̔xxxx́xxx,False,False,False,False,,,,Sing,,Ind,3,Pres,Fin,Act
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἔσχατος,(),False,x̔,False,False,False,False,Nom,,Masc,Sing,,,,,,
