orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Degree,Mood,Person
μωυσῆς,μωυσῆς,μωυσῆς,μωυσῆς,ῆς,μ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐποιήσατο,(),False,xxxx͂x,False,False,False,False,Nom,Masc,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐποιήσατο,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,Df,,advmod,0.0,μωυσῆς,(),False,’,False,True,False,False,,,,,,,,,,
ἑκάτερον,ἑκάτερον,ἑκάτερος,ἑκάτερον,ρον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ὑπερβάς,(),False,x̔xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ὑπερβάς,ὑπερβάς,ὑπερβάς,ὑπερβάς,άς,υ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐποιήσατο,(),False,x̔xxxx́x,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄσκεπτον,(),False,",",False,True,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ἄσκεπτον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἄσκεπτον,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,ἄσκεπτον,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἄσκεπτον,ἄσκεπτον,ἄσκεπτος,ἄσκεπτον,τον,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,amod,0.0,ἑκάτερον,"(ἀταλαίπωρον, ἀφιλόσοφον, κατεψευσμένον, μεστὸν)",False,x̓́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄσκεπτον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀταλαίπωρον,ἀταλαίπωρον,ἀταλαίπωρος,ἀταλαίπωρον,ρον,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἄσκεπτον,"(ἄσκεπτον, ἀφιλόσοφον, κατεψευσμένον, μεστὸν)",False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄσκεπτον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀφιλόσοφον,ἀφιλόσοφον,ἀφιλόσοφος,ἀφιλόσοφον,φον,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἄσκεπτον,"(ἄσκεπτον, ἀταλαίπωρον, κατεψευσμένον, μεστὸν)",False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὸ,(),False,",",False,True,False,False,,,,,,,,,,
