orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,παραπλήσια,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,
παραπλήσια,παραπλήσια,παραπλήσιος,παραπλήσια,σια,π,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,advmod,0.0,δοξαστέον,(),False,xxxx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,
δὴ,δὴ,δὴ,δὴ,δὴ,δ,-20.0,ADV,d--------,,discourse,0.0,δοξαστέον,(),False,xx̀,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,θεοῦ,(),False,xxx̀,False,False,False,False,,,,,,,,,
περὶ,περὶ,περὶ,περὶ,ρὶ,π,-20.0,ADP,r--------,,case,0.0,θεοῦ,(),False,xxxx̀,False,False,False,False,,,,,,,,,
θεοῦ,θεοῦ,θεοῦ,θεοῦ,οῦ,θ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,δοξαστέον,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
δοξαστέον,δοξαστέον,δοξαστέω,δοξαστέον,́ον,δ,-20.0,VERB,v-sppann-,Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,ROOT,0.0,δοξαστέον,(),False,xxxx́xx,False,False,False,False,Acc,Neut,Sing,Pres,Part,Act,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐνενόησε,(),False,",",False,True,False,False,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,c--------,,mark,0.0,ἐνενόησε,(),False,x̔x,False,False,False,False,,,,,,,,,
ἄρα,ἄρα,ἄρα,ἄρα,́ρα,α,-20.0,ADV,d--------,,advmod,0.0,ἐνενόησε,(),False,x̓́xx,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,μεγαλόπολιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
μεγαλόπολιν,μεγαλόπολιν,μεγαλόπολις,μεγαλόπολιν,λιν,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,κτίζειν,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
κτίζειν,κτίζειν,κτίζω,κτίζειν,ειν,κ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,διανοηθεὶς,(),False,xxx́xxxx,False,False,False,False,,,,Pres,Inf,Act,,,
διανοηθεὶς,διανοηθεὶς,διανοηθεὶς,διανοηθεὶς,ὶς,δ,-20.0,VERB,v-sappmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,ἐνενόησε,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Pass,,,
ἐνενόησε,ἐνενόησε,ἐνενόησε,ἐνενόησε,ησε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,δοξαστέον,(),False,x̓xxxx́xxx,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3,
πρότερον,πρότερον,πρότερος,πρότερον,ρον,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἐνενόησε,(),False,xxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,τύπους,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,
τύπους,τύπους,τύπος,τύπους,ους,τ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἐνενόησε,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,,,
αὐτῆς,αὐτῆς,αὐτῆς,αὐτῆς,ῆς,α,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,τύπους,(),False,xx̓xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀπετέλει,(),False,",",False,True,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ὧν,(),False,x̓x,False,False,False,False,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,συστησάμενος,(),False,x̔͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
κόσμον,κόσμον,κόσμος,κόσμον,μον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,συστησάμενος,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,
νοητὸν,νοητὸν,νοητὸν,νοητὸν,ὸν,ν,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,κόσμον,(),False,xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
συστησάμενος,συστησάμενος,συστησάμενος,συστησάμενος,νος,σ,-20.0,VERB,v-sapmmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,ἀπετέλει,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Past,Part,Mid,,,
ἀπετέλει,ἀπετέλει,ἀπετέλει,ἀπετέλει,λει,α,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,τύπους,"(χρώμενος,)",False,x̓xxxx́xxx,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3,Imp
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀπετέλει,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,αἰσθητὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
αἰσθητὸν,αἰσθητὸν,αἰσθητὸν,αἰσθητὸν,ὸν,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,χρώμενος,(),False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
παραδείγματι,παραδείγματι,παραδείγματι,παραδείγματι,ατι,π,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obj,0.0,χρώμενος,(),False,xxxx́xxxx,False,False,False,False,Dat,Neut,Sing,,,,,,
χρώμενος,χρώμενος,χρώμενος,χρώμενος,νος,χ,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,conj,0.0,ἀπετέλει,"(ἀπετέλει,)",False,xxx́xxxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,,
ἐκείνῳ.,ἐκείνῳ.,ἐκείνῳ.,ἐκείνῳ.,ῳ.,ε,-20.0,PUNCT,u--------,,punct,0.0,ἀπετέλει,(),False,x̓xxx́xxͅ.,False,False,False,False,,,,,,,,,
