orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,PronType,Definite,Degree
ἐπιλογιζόμενος,ἐπιλογιζόμενος,ἐπιλογιζόμενος,ἐπιλογιζόμενος,νος,ε,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,φησί,(),False,x̓xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,φησί,(),False,xx̀,False,False,False,False,,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,κοσμοποιίαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,,
κοσμοποιίαν,κοσμοποιίαν,κοσμοποιία,κοσμοποιίαν,́αν,κ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐπιλογιζόμενος,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,,
κεφαλαιώδει,κεφαλαιώδει,κεφαλαιώδει,κεφαλαιώδει,δει,κ,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,amod,0.0,τύπῳ,(),False,xxxx́xxx,False,False,False,False,Dat,Masc,Sing,,,,,,,,
τύπῳ,τύπῳ,τύπῳ,τύπῳ,πῳ,τ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ἐπιλογιζόμενος,(),False,xx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,,
φησί,φησί,φησί,φησί,σί,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φησί,(),False,xxxx́,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,φησί,(),False,·,False,True,False,False,,,,,,,,,,,
„,„,„,"""",„,„,-20.0,ADV,d--------,,advmod,0.0,βίβλος,(),False,„,False,True,False,False,,,,,,,,,,,
αὕτη,αὕτη,αὕτη,αὕτη,́τη,α,-20.0,ADJ,Pd,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,βίβλος,(),False,xx̔́xx,False,False,False,False,Nom,Fem,Sing,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,βίβλος,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,,
βίβλος,βίβλος,βίβλος,βίβλος,λος,β,-20.0,NOUN,Nb,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,βίβλος,"(γενέσθαι, γεν, χόρτον)",False,xx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,,
