orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
ἀρ,ἀρ,ἀρα,ἀρ,ἀρ,α,-20.0,ADV,d--------,,advmod,0.0,παρίστησιν,(),False,x̓x,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,παρίστησιν,(),False,’,False,True,False,False,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἰδέας,(),False,xx̓,False,False,False,False,,,,,,,,,
ἐμφανῶς,ἐμφανῶς,ἐμφανῶς,ἐμφανῶς,ῶς,ε,-20.0,ADV,d--------,,advmod,0.0,παρίστησιν,(),False,x̓xxxx͂x,False,False,False,False,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἰδέας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
ἀσωμάτους,ἀσωμάτους,ἀσωμάτους,ἀσωμάτους,ους,α,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,amod,0.0,ἰδέας,"(νοητὰς,)",False,x̓xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀσωμάτους,(),False,xxx̀,False,False,False,False,,,,,,,,,
νοητὰς,νοητὰς,νοητὰς,νοητὰς,ὰς,ν,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,ἀσωμάτους,"(ἀσωμάτους,)",False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
ἰδέας,ἰδέας,ἰδέα,ἰδέας,́ας,ι,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,παρίστησιν,(),False,x̓xx́xx,False,False,False,False,Acc,Fem,Plur,,,,,,
παρίστησιν,παρίστησιν,παρίστημι,παρίστησιν,σιν,π,-20.0,VERB,V-,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,παρίστησιν,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,συμβέβηκε,(),False,",",False,True,False,False,,,,,,,,,
ἃς,ἃς,ἃς,ἃς,̔̀ς,α,-20.0,PRON,p-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nsubj,0.0,συμβέβηκε,(),False,x̔̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ἀποτελεσμάτων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
αἰσθητῶν,αἰσθητῶν,αἰσθητῶν,αἰσθητῶν,ῶν,α,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἀποτελεσμάτων,(),False,xx̓xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
ἀποτελεσμάτων,ἀποτελεσμάτων,ἀποτελεσμάτων,ἀποτελεσμάτων,των,α,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἃς,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,
σφραγῖδας,σφραγῖδας,σφραγῖς,σφραγῖδας,δας,σ,-20.0,NOUN,Nb,Case=Acc|Gender=Fem|Number=Plur,xcomp,0.0,συμβέβηκε,(),False,xxxx͂xxx,False,False,False,False,Acc,Fem,Plur,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,συμβέβηκε,(),False,xx̓͂xxx,False,False,False,False,,,,,,Pres,Inf,Act,
συμβέβηκε,συμβέβηκε,συμβέβηκε,συμβέβηκε,ηκε,σ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,ἰδέας,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Perf
;,;,;,;,;,;,-20.0,PUNCT,u--------,,punct,0.0,παρίστησιν,(),False,;,False,True,False,False,,,,,,,,,
