orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,VerbForm,Mood,Person,Tense,Voice,Degree,Aspect
ὑπονοητέον,ὑπονοητέον,ὑπονοητέον,ὑπονοητέον,́ον,υ,-20.0,VERB,V-,Case=Nom|Gender=Neut|Number=Sing|VerbForm=Gdv,ROOT,0.0,ὑπονοητέον,(),False,x̔xxxx́xx,False,False,False,False,Nom,Neut,Sing,Gdv,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ὑπονοητέον,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,εἴδη,(),False,’,False,True,False,False,,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,c--------,,mark,0.0,προυπῆρχε,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἑκάστου,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἑκάστου,ἑκάστου,ἑκάστου,ἑκάστου,του,ε,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,εἴδη,(),False,x̔xx́xxxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ἄλλων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἄλλων,ἄλλων,ἄλλος,ἄλλων,λων,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἑκάστου,(),False,x̓́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἃ,ἃ,ἃ,ἃ,ἃ,α,-20.0,PRON,Pr,Case=Nom|Gender=Neut|Number=Plur,obj,0.0,δικάζουσιν,(),False,x̔̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
δικάζουσιν,δικάζουσιν,δικάζω,δικάζουσιν,σιν,δ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,ἑκάστου,(),False,xxxx́xxxx,False,False,False,False,,,Plur,Fin,Ind,3,Pres,Act,,
αἰσθήσεις,αἰσθήσεις,αἰσθήσεις,αἰσθήσεις,εις,α,-20.0,NOUN,Nb,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,δικάζουσιν,(),False,xx̓xxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,εἴδη,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
πρεσβύτερα,πρεσβύτερα,πρεσβύς,πρεσβύτερα,ερα,π,-20.0,ADJ,a-p---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Plur,amod,0.0,εἴδη,(),False,xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,Cmp,
εἴδη,εἴδη,εἴδος,εἴδη,́δη,ε,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,προυπῆρχε,"(μέτρα,)",False,xx̓́xx,False,False,False,False,Acc,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,εἴδη,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μέτρα,μέτρα,μέτρον,μέτρα,τρα,μ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,conj,0.0,εἴδη,"(εἴδη,)",False,xx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἰδοποιεῖται,(),False,",",False,True,False,False,,,,,,,,,,
οἷς,οἷς,οἷς,οἷς,̔͂ς,ο,-20.0,PRON,p-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,εἰδοποιεῖται,(),False,xx̔͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
εἰδοποιεῖται,εἰδοποιεῖται,εἰδοποιεῖται,εἰδοποιεῖται,ται,ε,-20.0,VERB,V-,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass,acl,0.0,εἴδη,"(μετρεῖται,)",False,xx̓xxxx͂xxx,False,False,False,False,,,Sing,Fin,Ind,3,Pres,Pass,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,εἰδοποιεῖται,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μετρεῖται,μετρεῖται,μετρεῖται,μετρεῖται,ται,μ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass,conj,0.0,εἰδοποιεῖται,"(εἰδοποιεῖται,)",False,xxxx͂xxx,False,False,False,False,,,Sing,Fin,Ind,3,Pres,Pass,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,γινόμενα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
γινόμενα,γινόμενα,γινόμενα,γινόμενα,ενα,γ,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nsubj,0.0,μετρεῖται,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,Part,,,Pres,Mid,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἰδοποιεῖται,(),False,",",False,True,False,False,,,,,,,,,,
προυπῆρχε,προυπῆρχε,προυπῆρχε,προυπῆρχε,ρχε,π,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ccomp,0.0,ὑπονοητέον,(),False,xxxx͂xxx,False,False,False,False,,,Sing,Fin,Ind,3,Past,Act,,Imp
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ὑπονοητέον,(),False,·,False,True,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,ROOT,0.0,καὶ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,καὶ,(),False,xx̀x,False,False,False,False,,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,ADV,d--------,,advmod,0.0,μέρος,(),False,xx̓,False,False,False,False,,,,,,,,,,
μὴ,μὴ,οὔμὴ,μὴ,μὴ,μ,-20.0,ADV,d--------,,advmod,0.0,εἰ,(),False,xx̀,False,False,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μέρος,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
μέρος,μέρος,μέρος,μέρος,ρος,μ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,καὶ,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
&,&,&,&,&,&,-20.0,CCONJ,d--------,,case,0.0,λτ,(),False,&,False,True,False,False,,,,,,,,,,
λτ,λτ,λτ,λτ,λτ,λ,-20.0,ADV,d--------,,advmod,0.0,μέρος,(),False,xx,True,False,False,False,,,,,,,,,,
;,;,;,;,;,;,-20.0,ADV,d--------,,advmod,0.0,λτ,(),False,;,False,True,False,False,,,,,,,,,,
