orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Aspect,Mood,Person,Tense,VerbForm,Voice
εἰκότως,εἰκότως,εἰκότως,εἰκότως,τως,ε,-20.0,ADV,d--------,,advmod,0.0,ἀνέδωκεν,(),False,xx̓xx́xxx,False,False,False,False,,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,discourse,0.0,ἀνέδωκεν,(),False,xx̓͂x,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,γῇ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
γῇ,γῇ,γῇ,γῇ,ῇ,γ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obj,0.0,ἀνέδωκεν,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,S-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,πρεσβυτάτῃ,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
πρεσβυτάτῃ,πρεσβυτάτῃ,πρεσβυτάτῃ,πρεσβυτάτῃ,τῃ,π,-20.0,ADJ,a-s---fns,Case=Nom|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,γῇ,"(γονιμωτάτῃ,)",False,xxxx́xxͅ,False,False,False,False,Nom,Fem,Sing,Sup,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πρεσβυτάτῃ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
γονιμωτάτῃ,γονιμωτάτῃ,γονιμωτάτῃ,γονιμωτάτῃ,τῃ,γ,-20.0,ADJ,a-s---fns,Case=Nom|Degree=Sup|Gender=Fem|Number=Sing,conj,0.0,πρεσβυτάτῃ,"(πρεσβυτάτῃ,)",False,xxxx́xxͅ,False,False,False,False,Nom,Fem,Sing,Sup,,,,,,
μητέρων,μητέρων,μητέρων,μητέρων,ρων,μ,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,πρεσβυτάτῃ,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Plur,,,,,,,
ἀνέδωκεν,ἀνέδωκεν,ἀνέδωκεν,ἀνέδωκεν,κεν,α,-20.0,VERB,v3saia---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀνέδωκεν,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,,Perf,Ind,3,Past,Fin,Act
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,φύσις,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
φύσις,φύσις,φύσις,φύσις,σις,φ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἀνέδωκεν,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
οἷα,οἷα,οἷος,οἷα,̔͂α,ο,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,μαστοὺς,(),False,xx̔͂x,False,False,False,False,Acc,Neut,Plur,,,,,,,
μαστοὺς,μαστοὺς,μαστοὺς,μαστοὺς,ὺς,μ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἀνέδωκεν,(),False,xxxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
ποταμῶν,ποταμῶν,ποταμῶν,ποταμῶν,ῶν,π,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ῥεῖθρα,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ῥεῖθρα,ῥεῖθρα,ῥεῖθρα,ῥεῖθρα,θρα,ρ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,dep,0.0,ἀνέδωκεν,(),False,x̔xx͂xxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ποταμῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πηγῶν,πηγῶν,πηγῶν,πηγῶν,ῶν,π,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,ῥεῖθρα,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἵνα,(),False,",",False,True,False,False,,,,,,,,,,
ἵνα,ἵνα,ἵνα,ἵνα,́να,ι,-20.0,SCONJ,c--------,,mark,0.0,ἄρδοιτο,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἄρδοιτο,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,φυτὰ,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
φυτὰ,φυτὰ,φυτὰ,φυτὰ,τὰ,φ,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ἄρδοιτο,(),False,xxxx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
ἄρδοιτο,ἄρδοιτο,ἄρδω,ἄρδοιτο,ιτο,α,-20.0,VERB,v3spoe---,Mood=Opt|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,advcl,0.0,ἀνέδωκεν,"(ἔχοι,)",False,x̓́xxxx,False,False,False,False,,,Sing,,,Opt,3,Pres,Fin,Mid
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄρδοιτο,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ποτὸν,ποτὸν,ποτὸς,ποτὸν,ὸν,π,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἔχοι,(),False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἄφθονον,ἄφθονον,ἄφθονος,ἄφθονον,νον,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,ποτὸν,(),False,x̓́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἔχοι,ἔχοι,ἔχω,ἔχοι,χοι,ε,-20.0,VERB,v3spoa---,Mood=Opt|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,ἄρδοιτο,"(ἄρδοιτο,)",False,x̓́xxx,False,False,False,False,,,Sing,,,Opt,3,Pres,Fin,Act
πάντα,πάντα,πάντα,πάντα,ντα,π,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nmod,0.0,ζῷα,(),False,xx́xxx,False,False,False,False,Nom,Neut,Plur,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ζῷα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
ζῷα,ζῷα,ζῷον,ζῷα,͂ͅα,ζ,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ἔχοι,(),False,xx͂ͅx,False,False,False,False,Nom,Neut,Plur,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀνέδωκεν,(),False,.,False,True,False,False,,,,,,,,,,
