orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Definite,PronType
μετὰ,μετὰ,μετὰ,μετὰ,τὰ,μ,-20.0,ADP,r--------,,case,0.0,ταῦτά,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,φησι,(),False,xx̀,False,False,False,False,,,,,,,,,,
ταῦτά,ταῦτά,ταῦτά,ταῦτά,τά,τ,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,obl,0.0,φησι,(),False,xxx͂xx́,False,False,False,False,Acc,Neut,Plur,,,,,,,
φησι,φησι,φημί,φησι,ησι,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φησι,(),False,xxxx,True,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,G-,,mark,0.0,ἔπλασεν,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
ἔπλασεν,ἔπλασεν,ἔπλασεν,ἔπλασεν,σεν,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ccomp,0.0,φησι,"(ἐνεφύσησε,)",False,x̓́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,θεὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἔπλασεν,(),False,xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἄνθρωπον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἔπλασεν,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
χοῦν,χοῦν,χοῦς,χοῦν,ῦν,χ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,λαβὼν,(),False,xxx͂x,False,False,False,False,Acc,Masc,Sing,,,,,,,
λαβὼν,λαβὼν,λαβὼ,λαβὼν,ὼν,λ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἔπλασεν,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,Past,Part,Act,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,γῆς,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,γῆς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,λαβὼν,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,καὶ,(),False,",",False,True,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἔπλασεν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἐνεφύσησε,ἐνεφύσησε,ἐνεφύσησε,ἐνεφύσησε,ησε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,ἔπλασεν,"(ἔπλασεν,)",False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,,
