orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect,PronType
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,οὐσίας,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,φησι,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,σύνθετον,(),False,’,False,True,False,False,,,,,,,,,,
αἰσθητοῦ,αἰσθητοῦ,αἰσθητοῦ,αἰσθητοῦ,οῦ,α,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,amod,0.0,κατασκευὴν,(),False,xx̓xxxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,αἰσθητοῦ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,μέρους,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
μέρους,μέρους,μέρος,μέρους,ους,μ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,κατασκευὴν,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,που,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,μέρους,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,κατασκευὴν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
κατασκευὴν,κατασκευὴν,κατασκευὴ,κατασκευὴν,ὴν,κ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nsubj,0.0,σύνθετον,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
σύνθετον,σύνθετον,σύνθετος,σύνθετον,τον,σ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,ccomp,0.0,φησι,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
εἶναί,εἶναί,εἶναί,εἶναί,αί,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,σύνθετον,(),False,xx̓͂xxx́,False,False,False,False,,,,Pres,Inf,Act,,,,
φησι,φησι,φημί,φησι,ησι,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φησι,(),False,xxxx,True,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,,
ἔκ,ἔκ,ἔκ,ἔκ,̓́κ,ε,-20.0,ADP,r--------,,case,0.0,οὐσίας,(),False,x̓́x,False,False,False,False,,,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,γεώδοὺς,(),True,xx,True,False,False,False,,,,,,,,,,
γεώδοὺς,γεώδοὺς,γεώδοὺς,γεώδοὺς,ὺς,γ,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,οὐσίας,(),False,xxx́xxx̀x,False,False,False,False,Gen,Neut,Sing,,,,,,,
οὐσίας,οὐσίας,οὐσία,οὐσίας,́ας,ο,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,φησι,"(πνεύματος,)",False,xx̓xx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,οὐσίας,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πνεύματος,πνεύματος,πνεύμα,πνεύματος,τος,π,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,conj,0.0,οὐσίας,"(οὐσίας,)",False,xxxx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
θείου,θείου,θείου,θείου,́ου,θ,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,πνεύματος,(),False,xxx́xx,False,False,False,False,Gen,Neut,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,φησι,(),False,·,False,True,False,False,,,,,,,,,,
γεγενῆσθαι,γεγενῆσθαι,γεγενῆσθαι,γεγενῆσθαι,θαι,γ,-20.0,VERB,v--rne---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,ROOT,0.0,γεγενῆσθαι,(),False,xxxx͂xxxx,False,False,False,False,,,,Past,Inf,Mid,,,Perf,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,γεγενῆσθαι,(),False,xx̀x,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,λαβόντος,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,λαβόντος,(),False,xx̀x,False,False,False,False,,,,,,,,,,
σῶμα,σῶμα,σῶμα,σῶμα,͂μα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,λαβόντος,(),False,xx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
χοῦν,χοῦν,χοῦς,χοῦν,ῦν,χ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,λαβόντος,(),False,xxx͂x,False,False,False,False,Acc,Masc,Sing,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,τεχνίτου,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
τεχνίτου,τεχνίτου,τεχνίτης,τεχνίτου,του,τ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,dep,0.0,χοῦν,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
λαβόντος,λαβόντος,λαβόντος,λαβόντος,τος,λ,-20.0,VERB,v-sapamg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,γεγενῆσθαι,"(διαπλάσαντος,)",False,xxxx́xxxx,False,False,False,False,Gen,Masc,Sing,Past,Part,Act,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,λαβόντος,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μορφὴν,μορφὴν,μορφὴν,μορφὴν,ὴν,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,διαπλάσαντος,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἀνθρωπίνην,ἀνθρωπίνην,ἀνθρωπίνην,ἀνθρωπίνην,νην,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,μορφὴν,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,αὐτοῦ,(),False,x̓x,False,False,False,False,,,,,,,,,,
αὐτοῦ,αὐτοῦ,αὐτοῦ,αὐτοῦ,οῦ,α,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,διαπλάσαντος,(),False,xx̓xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
διαπλάσαντος,διαπλάσαντος,διαπλάζω,διαπλάσαντος,τος,δ,-20.0,VERB,v-sapamg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,conj,0.0,λαβόντος,"(λαβόντος,)",False,xxxx́xxxx,False,False,False,False,Gen,Masc,Sing,Past,Part,Act,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὴν,(),False,",",False,True,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γεγενῆσθαι,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,γεγενῆσθαι,(),False,xx̀,False,False,False,False,,,,,,,,,,
ψυχὴν,ψυχὴν,ψυχὴν,ψυχὴν,ὴν,ψ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nsubj,0.0,διαπλάσαντος,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἀπὸ᾽,ἀπὸ᾽,ἀπὸ᾽,ἀπὸ᾽,ὸ᾽,α,-20.0,PUNCT,V-,,xcomp,0.0,γεγενῆσθαι,(),False,x̓xx̀᾽,False,False,False,False,,,,,,,,,,
οὐδενὸς,οὐδενὸς,οὐδενὸς,οὐδενὸς,ὸς,ο,-20.0,PRON,p-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,γενητοῦ,(),False,xx̓xxxx̀x,False,False,False,False,Gen,Neut,Sing,,,,,,,
γενητοῦ,γενητοῦ,γενητοῦ,γενητοῦ,οῦ,γ,-20.0,NOUN,a-s---mgc,Case=Gen|Gender=Masc|Number=Sing,parataxis,0.0,γεγενῆσθαι,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,παράπαν,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
παράπαν,παράπαν,παράπαν,παράπαν,παν,π,-20.0,ADV,d--------,,advmod,0.0,γενητοῦ,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀλλὰ᾽,(),False,",",False,True,False,False,,,,,,,,,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,nmod,0.0,ἀπὸ᾽,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,πατρὸς,(),False,x̓x,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,πατρὸς,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
πατρὸς,πατρὸς,πατρὸς,πατρὸς,ὸς,π,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,γεγενῆσθαι,"(ἡγεμόνος,)",False,xxxx̀x,False,False,False,False,Gen,Masc,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πατρὸς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἡγεμόνος,ἡγεμόνος,ἡγεμόνος,ἡγεμόνος,νος,η,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,πατρὸς,"(πατρὸς,)",False,x̔xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,πάντων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
πάντων,πάντων,πάντος,πάντων,των,π,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἡγεμόνος,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,γεγενῆσθαι,(),False,·,False,True,False,False,,,,,,,,,,
ὃ,ὃ,ὃ,ὃ,ὃ,ο,-20.0,PRON,Pr,Case=Acc|Gender=Neut|Number=Sing|PronType=Rel,dep,0.0,ἀθανατίζηται,(),False,x̔̀,False,False,False,False,Acc,Neut,Sing,,,,,,,Rel
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἀθανατίζηται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἐνεφύσησε,ἐνεφύσησε,ἐνεφύσησε,ἐνεφύσησε,ησε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,nsubj,0.0,ἀθανατίζηται,"(οὐδὲν,)",False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐνεφύσησε,(),False,",",False,True,False,False,,,,,,,,,,
οὐδὲν,οὐδὲν,οὐδὲν,οὐδὲν,ὲν,ο,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,ἐνεφύσησε,"(ἐνεφύσησε,)",False,xx̓xx̀x,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἦν,ἦν,ἦς,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,ἕτερον,(),False,x̓͂x,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3,Imp,
ἕτερον,ἕτερον,ἕτερος,ἕτερον,ρον,ε,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,amod,0.0,οὐδὲν,(),False,x̔́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,d--------,,advmod,0.0,οὐδὲν,(),False,x̓̀,False,False,False,False,,,,,,,,,,
πνεῦμα,πνεῦμα,πνεῦμα,πνεῦμα,͂μα,π,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,οὐδὲν,(),False,xxxx͂xx,False,False,False,False,Nom,Neut,Sing,,,,,,,
θεῖον,θεῖον,θεῖος,θεῖον,͂ον,θ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nmod,0.0,πνεῦμα,(),False,xxx͂xx,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,φύσεως,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
