orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Person,PronType,Degree,Aspect,Tense,VerbForm,Voice,Mood
ἐκεῖνος,ἐκεῖνος,ἐκεῖνος,ἐκεῖνος,νος,ε,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἄνθρωπος,(),False,x̓xxx͂xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,δοκεῖ,(),False,xx̀,False,False,False,False,,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,δοκεῖ,(),False,’,False,True,False,False,,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἄνθρωπος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,,
πρῶιος,πρῶιος,πρῶιος,πρῶιος,ιος,π,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἄνθρωπος,(),False,xxx͂xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,,
ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,πος,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,δοκεῖ,(),False,x̓́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,γηγενής,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,,
γηγενής,γηγενής,γηγενής,γηγενής,ής,γ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἄνθρωπος,(),False,xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀρχηγέτης,(),False,",",False,True,False,False,,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἀρχηγέτης,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,,
παντὸς,παντὸς,παντὸς,παντὸς,ὸς,π,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,γένους,(),False,xxxx̀x,False,False,False,False,Gen,Neut,Sing,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,γένους,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,,
γένους,γένους,γένος,γένους,ους,γ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἀρχηγέτης,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,,
ἡμῶν,ἡμῶν,ἡμῶν,ἡμῶν,ῶν,η,-20.0,PRON,Pp,Case=Gen|Gender=Masc|Number=Plur|Person=1|PronType=Prs,nmod,0.0,γένους,(),False,x̔xx͂x,False,False,False,False,Gen,Masc,Plur,1,Prs,,,,,,
ἀρχηγέτης,ἀρχηγέτης,ἀρχηγέτης,ἀρχηγέτης,της,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,appos,0.0,ἄνθρωπος,(),False,x̓xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀρχηγέτης,(),False,",",False,True,False,False,,,,,,,,,,,
