orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Aspect,Definite,PronType,Degree
διό,διό,διό,διό,ιό,δ,-20.0,ADV,d--------,,advmod,0.0,φησι,(),False,xxx́,False,False,False,False,,,,,,,,,,,,
φησι,φησι,φημί,φησι,ησι,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φησι,(),False,xxxx,True,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,,,,
ἀπεικόνισμα,ἀπεικόνισμα,ἀπεικόνισμα,ἀπεικόνισμα,σμα,α,-20.0,NOUN,Nb,Case=Acc|Gender=Neut|Number=Sing,xcomp,0.0,γεγενῆσθαι,"(μίμημα,)",False,x̓xxxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Neut,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀπεικόνισμα,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
μίμημα,μίμημα,μίμημα,μίμημα,ημα,μ,-20.0,NOUN,Nb,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἀπεικόνισμα,"(ἀπεικόνισμα,)",False,xx́xxxx,False,False,False,False,,Sing,,,,,Acc,Neut,,,,
γεγενῆσθαι,γεγενῆσθαι,γεγενῆσθαι,γεγενῆσθαι,θαι,γ,-20.0,VERB,V-,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,ccomp,0.0,φησι,(),False,xxxx͂xxxx,False,False,False,False,,,,Past,Inf,Mid,,,Perf,,,
τούτου,τούτου,τούτου,τούτου,του,τ,-20.0,ADJ,Pd,Case=Gen|Gender=Masc|Number=Sing,dep,0.0,γεγενῆσθαι,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Gen,Masc,,,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,S-,Case=Acc|Definite=Def|Gender=Masc|Number=Sing|PronType=Dem,det,0.0,ἄνθρωπον,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,,Def,Dem,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,γεγενῆσθαι,(),False,x̓́xxxx,False,False,False,False,,Sing,,,,,Acc,Masc,,,,
ἐμπνευσθέντα,ἐμπνευσθέντα,ἐμπνευσθέντα,ἐμπνευσθέντα,ντα,ε,-20.0,VERB,v-sappma-,Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,dep,0.0,φησι,(),False,x̓xxxx́xxx,False,False,False,False,,Sing,,Past,Part,Pass,Acc,Masc,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,πρόσωπον,(),False,xx̓x,False,False,False,False,,,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Definite=Def|Gender=Neut|Number=Sing|PronType=Dem,det,0.0,πρόσωπον,(),False,xx̀,False,False,False,False,,Sing,,,,,Acc,Neut,,Def,Dem,
πρόσωπον,πρόσωπον,πρόσωπον,πρόσωπον,πον,π,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἐμπνευσθέντα,(),False,xxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Neut,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔνθα,(),False,",",False,True,False,False,,,,,,,,,,,,
ἔνθα,ἔνθα,ἔνθα,ἔνθα,νθα,ε,-20.0,ADV,d--------,,dep,0.0,φησι,(),False,x̓́xxx,False,False,False,False,,,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,αἰσθήσεων,(),False,xx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,,,,
αἰσθήσεων,αἰσθήσεων,αἰσθήσεων,αἰσθήσεων,εων,α,-20.0,NOUN,Nb,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,τόπος,(),False,xx̓xxx́xxxx,False,False,False,False,,Plur,,,,,Gen,Fem,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,τόπος,(),False,x̔,False,False,False,False,,Sing,,,,,Nom,Masc,,,,
τόπος,τόπος,τόπος,τόπος,πος,τ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἔνθα,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Nom,Masc,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐψύχωσεν,(),False,",",False,True,False,False,,,,,,,,,,,,
αἷς,αἷς,αἷς,αἷς,̔͂ς,α,-20.0,PRON,p-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,ἐψύχωσεν,(),False,xx̔͂x,False,False,False,False,,Plur,,,,,Dat,Fem,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,σῶμα,(),False,xx̀,False,False,False,False,,Sing,,,,,Acc,Neut,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐψύχωσεν,(),False,xx̀x,False,False,False,False,,,,,,,,,,,,
σῶμα,σῶμα,σῶμα,σῶμα,͂μα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἐψύχωσεν,(),False,xx͂xx,False,False,False,False,,Sing,,,,,Acc,Neut,,,,
ἐψύχωσεν,ἐψύχωσεν,ἐψύχωσεν,ἐψύχωσεν,σεν,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,τόπος,"(παρέδωκε,)",False,x̓xx́xxxx,False,False,False,False,Ind,Sing,3,Past,Fin,Act,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,δημιουργός,(),False,x̔,False,False,False,False,,Sing,,,,,Nom,Masc,,,,
δημιουργός,δημιουργός,δημιουργός,δημιουργός,ός,δ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐψύχωσεν,(),False,xxxx́x,False,False,False,False,,Sing,,,,,Nom,Masc,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὸν,(),False,",",False,True,False,False,,,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,σῶμα,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἐψύχωσεν,(),False,xx̀,False,False,False,False,,,,,,,,,,,,
βασιλέα,βασιλέα,βασιλέα,βασιλέα,έα,β,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐνιδρυσάμενος,(),False,xxxx́x,False,False,False,False,,Sing,,,,,Acc,Masc,,,,
λογισμὸν,λογισμὸν,λογισμὸς,λογισμὸν,ὸν,λ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐνιδρυσάμενος,(),False,xxxx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,,,,
ἐνιδρυσάμενος,ἐνιδρυσάμενος,ἐνιδρυσάμενος,ἐνιδρυσάμενος,νος,ε,-20.0,VERB,v-sapmmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,παρέδωκε,(),False,x̓xxxx́xxxx,False,False,False,False,,Sing,,Past,Part,Mid,Nom,Masc,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,S-,Case=Dat|Gender=Neut|Number=Sing,det,0.0,ἡγεμονικῷ,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Neut,,,,
ἡγεμονικῷ,ἡγεμονικῷ,ἡγεμονικῷ,ἡγεμονικῷ,ῷ,η,-20.0,NOUN,A-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,παρέδωκε,(),False,x̔xxxx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Neut,,,,
παρέδωκε,παρέδωκε,παρέδωκε,παρέδωκε,ωκε,π,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,ἐψύχωσεν,"(ἐψύχωσεν,)",False,xxxx́xxxx,False,False,False,False,Ind,Sing,3,Past,Fin,Act,,,,,,
δορυφορεῖσθαι,δορυφορεῖσθαι,δορυφορεῖσθαι,δορυφορεῖσθαι,θαι,δ,-20.0,VERB,V-,Tense=Pres|VerbForm=Inf|Voice=Pass,advcl,0.0,παρέδωκε,"(ἀντιλήψεις,)",False,xxxx͂xxxx,False,False,False,False,,,,Pres,Inf,Pass,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,χυλῶν,(),False,xxx̀x,False,False,False,False,,,,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,χυλῶν,(),False,xx̀x,False,False,False,False,,Plur,,,,,Acc,Fem,,,,
χρωμάτων,χρωμάτων,χρωμάτον,χρωμάτων,των,χ,-20.0,NOUN,Nb,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,χυλῶν,"(φωνῶν,)",False,xxxx́xxx,False,False,False,False,,Plur,,,,,Gen,Neut,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,χρωμάτων,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
φωνῶν,φωνῶν,φωνῶν,φωνῶν,ῶν,φ,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,conj,0.0,χρωμάτων,"(χρωμάτων,)",False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,,,,
χυλῶν,χυλῶν,χυλῶν,χυλῶν,ῶν,χ,-20.0,NOUN,Nb,Case=Gen|Gender=Fem|Number=Plur,obl,0.0,δορυφορεῖσθαι,"(ἀτμῶν,)",False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,χυλῶν,(),True,xx,True,False,False,False,,,,,,,,,,,,
αὖ,αὖ,αὖ,αὖ,ὖ,α,-20.0,ADV,d--------,,advmod,0.0,χυλῶν,(),False,xx̓͂,False,False,False,False,,,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,χυλῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
ἀτμῶν,ἀτμῶν,ἀτμῶν,ἀτμῶν,ῶν,α,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,conj,0.0,χυλῶν,"(χυλῶν,)",False,x̓xxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,C-,,cc,0.0,δορυφορεῖσθαι,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,παραπλησίων,(),False,xx͂x,False,False,False,False,,Plur,,,,,Gen,Neut,,,,
παραπλησίων,παραπλησίων,παραπλησίων,παραπλησίων,́ων,π,-20.0,ADJ,A-,Case=Gen|Degree=Pos|Gender=Fem|Number=Plur,amod,0.0,ἀντιλήψεις,(),False,xxxx́xx,False,False,False,False,,Plur,,,,,Gen,Fem,,,,Pos
ἀντιλήψεις,ἀντιλήψεις,ἀντιλήψεις,ἀντιλήψεις,εις,α,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,δορυφορεῖσθαι,"(δορυφορεῖσθαι,)",False,x̓xxxx́xxxx,False,False,False,False,,Plur,,,,,Acc,Fem,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οἷός,(),False,",",False,True,False,False,,,,,,,,,,,,
ἃς,ἃς,ἃς,ἃς,̔̀ς,α,-20.0,PRON,p-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nsubj,0.0,οἷός,(),False,x̔̀x,False,False,False,False,,Plur,,,,,Acc,Fem,,,,
ἄνευ,ἄνευ,ἄνευ,ἄνευ,νευ,α,-20.0,ADP,r--------,,case,0.0,αἰσθήσεως,(),False,x̓́xxx,False,False,False,False,,,,,,,,,,,,
αἰσθήσεως,αἰσθήσεως,αἰσθήσεως,αἰσθήσεως,εως,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,καταλαβεῖν,(),False,xx̓xxx́xxxx,False,False,False,False,,Sing,,,,,Gen,Fem,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,αὑτοῦ,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,R-,,case,0.0,αὑτοῦ,(),False,’,False,True,False,False,,,,,,,,,,,,
αὑτοῦ,αὑτοῦ,αὑτοῦ,αὑτοῦ,οῦ,α,-20.0,PRON,Pp,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,καταλαβεῖν,(),False,xx̔xxx͂,False,False,False,False,,Sing,,,,,Gen,Masc,,,,
μόνου,μόνου,μόνος,μόνου,νου,μ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,αὑτοῦ,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Gen,Masc,,,,
καταλαβεῖν,καταλαβεῖν,καταλαβεῖν,καταλαβεῖν,ῖν,κ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,csubj,0.0,οἷός,(),False,xxxx͂x,False,False,False,False,,,,Past,Inf,Act,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,οἷός,(),False,xx̓,False,False,False,False,,,,,,,,,,,,
οἷός,οἷός,οἷός,οἷός,ός,ο,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,acl,0.0,ἀντιλήψεις,(),False,xx̔͂x́x,False,False,False,False,,Sing,,,,,Nom,Masc,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,οἷός,(),True,xx,True,False,False,False,,,,,,,,,,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,οἷός,(),False,x̓͂x,False,False,False,False,Ind,Sing,3,Past,Fin,Act,,,Imp,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἔνθα,(),False,.,False,True,False,False,,,,,,,,,,,,
