orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Definite,PronType
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,ἀναγκαῖον,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,Df,,discourse,0.0,ἀναγκαῖον,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,Df,,advmod,0.0,ἀπογόνους,(),False,’,False,True,False,False,,,,,,,,,
ἀπογόνους,ἀπογόνους,ἀπογόνους,ἀπογόνους,ους,α,-20.0,NOUN,Nb,Case=Acc|Gender=Masc|Number=Plur,nsubj,0.0,ἀμυδροὺς,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,μετέχοντας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἐκείνου,ἐκείνου,ἐκείνου,ἐκείνου,νου,ε,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,iobj,0.0,μετέχοντας,(),False,x̓xxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,
μετέχοντας,μετέχοντας,μετέχω,μετέχοντας,τας,μ,-20.0,VERB,v-pppama-,Case=Acc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ἀπογόνους,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Plur,Pres,Part,Act,,,
ἰδέας,ἰδέας,ἰδέα,ἰδέας,́ας,ι,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,μετέχοντας,(),False,x̓xx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀναγκαῖον,ἀναγκαῖον,ἀναγκαῖος,ἀναγκαῖον,͂ον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,ROOT,0.0,ἀναγκαῖον,(),False,x̓xxxx͂xx,False,False,False,False,Nom,Neut,Sing,,,,Pos,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,G-,,mark,0.0,ἀμυδροὺς,(),False,xx̓,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἀμυδροὺς,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀμυδροὺς,ἀμυδροὺς,ἀμυδροὺς,ἀμυδροὺς,ὺς,α,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,ccomp,0.0,ἀναγκαῖον,(),False,x̓xxxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,nmod,0.0,σῴζειν,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,σῴζειν,(),False,xx̓͂x,False,False,False,False,,,,,,,,,
ἔτι,ἔτι,ἔτι,ἔτι,́τι,ε,-20.0,ADV,d--------,,advmod,0.0,σῴζειν,(),False,x̓́xx,False,False,False,False,,,,,,,,,
σῴζειν,σῴζειν,σῴζω,σῴζειν,ειν,σ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,ROOT,0.0,σῴζειν,(),False,xx́ͅxxxx,False,False,False,False,,,,Pres,Inf,Act,,,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,S-,Case=Acc|Definite=Def|Gender=Masc|Number=Plur|PronType=Dem,det,0.0,τύπους,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,Def,Dem
