orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice
σοφίας,σοφίας,σοφία,σοφίας,́ας,σ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἔργον,(),False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,σοφίας,(),False,xx̀x,False,False,False,False,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,γὰρ,(),False,xxx̀,False,False,False,False,,,,,,
βασιλείας,βασιλείας,βασιλεία,βασιλείας,́ας,β,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἔργον,(),False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,ἔργον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,
ἔργον,ἔργον,ἔργον,ἔργον,γον,ε,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,ἔργον,"(σοφὸς, αὐτοδίδακτος, βασιλεύς)",False,x̓́xxxx,False,False,False,False,Nom,Neut,Sing,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,σοφὸς,(),False,",",False,True,False,False,,,,,,
σοφὸς,σοφὸς,σοφὸς,σοφὸς,ὸς,σ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἔργον,"(ἔργον, αὐτοδίδακτος, βασιλεύς)",False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,σοφὸς,(),False,xx̀,False,False,False,False,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἔργον,(),False,’,False,True,False,False,,,,,,
ἐκεῖνος,ἐκεῖνος,ἐκεῖνος,ἐκεῖνος,νος,ε,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,αὐτοδίδακτος,(),False,x̓xxx͂xxx,False,False,False,False,Nom,Masc,Sing,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,αὐτοδίδακτος,(),False,xxx̀,False,False,False,False,,,,,,
αὐτοδίδακτος,αὐτοδίδακτος,αὐτοδίδακτος,αὐτοδίδακτος,τος,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἔργον,"(ἔργον, σοφὸς, βασιλεύς)",False,xx̓xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γενόμενος,(),False,",",False,True,False,False,,,,,,
χερσὶ,χερσὶ,χερσὶ,χερσὶ,σὶ,χ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,γενόμενος,(),False,xxxx̀,False,False,False,False,Dat,Fem,Plur,,,
θείαις,θείαις,θεία,θείαις,αις,θ,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,χερσὶ,(),False,xxx́xxx,False,False,False,False,Dat,Fem,Plur,,,
