orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Definite,PronType
ἀπεπειρᾶτο,ἀπεπειρᾶτο,ἀπεπειρᾶτο,ἀπεπειρᾶτο,͂το,α,-20.0,VERB,v3siie---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἀπεπειρᾶτο,(),False,x̓xxxx͂xx,False,False,False,False,Imp,Ind,Sing,3,Past,Fin,Mid,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,discourse,0.0,ἀπεπειρᾶτο,(),False,xx̀,False,False,False,False,,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,dep,0.0,ἀπεπειρᾶτο,(),False,’,False,True,False,False,,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,dep,0.0,ἀπεπειρᾶτο,(),False,x̔x,False,False,False,False,,,,,,,,,,,
ὑφηγητὴς,ὑφηγητὴς,ὑφηγητὴς,ὑφηγητὴς,ὴς,υ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ὡς,(),False,x̔xxxx̀x,False,False,False,False,,,Sing,,,,,Nom,Masc,,
γνωρίμου,γνωρίμου,γνωρίμου,γνωρίμου,μου,γ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἕξιν,(),False,xxxx́xxx,False,False,False,False,,,Sing,,,,,Gen,Masc,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἕξιν,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Fem,,
ἐνδιάθετον,ἐνδιάθετον,ἐνδιάθετος,ἐνδιάθετον,τον,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἕξιν,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Fem,,
ἕξιν,ἕξιν,ἕξις,ἕξιν,ξιν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀνακινῶν,(),False,x̔́xxx,False,False,False,False,,,Sing,,,,,Acc,Fem,,
ἀνακινῶν,ἀνακινῶν,ἀνακινῶ,ἀνακινῶν,ῶν,α,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ὡς,"(ἀνακαλῶν,)",False,x̓xxxx͂x,False,False,False,False,,,Sing,,Pres,Part,Act,Nom,Masc,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀνακινῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἐπίδειξιν,(),False,xxx̀x,False,False,False,False,,,,,,,,,,,
ἐπίδειξιν,ἐπίδειξιν,ἐπίδειξις,ἐπίδειξιν,ξιν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἀνακαλῶν,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Fem,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ἀνακαλῶν,(),False,xx͂x,False,False,False,False,,,Plur,,,,,Gen,Neut,,
οἰκείων,οἰκείων,οἰκείων,οἰκείων,́ων,ο,-20.0,ADJ,A-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἔργων,(),False,xx̓xxx́xx,False,False,False,False,,,Plur,,,,,Gen,Neut,,
ἀνακαλῶν,ἀνακαλῶν,ἀνακαλῶ,ἀνακαλῶν,ῶν,α,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,ἀνακινῶν,"(ἀνακινῶν,)",False,x̓xxxx͂x,False,False,False,False,,,Sing,,Pres,Part,Act,Nom,Masc,,
ἔργων,ἔργων,ἔργον,ἔργων,γων,ε,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,iobj,0.0,ἀνακαλῶν,(),False,x̓́xxxx,False,False,False,False,,,Plur,,,,,Gen,Neut,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἵνα᾽,(),False,",",False,True,False,False,,,,,,,,,,,
ἵνα᾽,ἵνα᾽,ἵνα᾽,ἵνα᾽,να᾽,ι,-20.0,PUNCT,V-,,dep,0.0,ἀπεπειρᾶτο,(),False,x̔́xx᾽,False,False,False,False,,,,,,,,,,,
ἀπαυτοματίσῃ,ἀπαυτοματίσῃ,ἀπαυτοματίσῃ,ἀπαυτοματίσῃ,σῃ,α,-20.0,VERB,V-,Aspect=Perf|Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ἀπεπειρᾶτο,(),False,x̓xxxx́xxͅ,False,False,False,False,Perf,Sub,Sing,3,Past,Fin,Act,,,,
