orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Tense,VerbForm,Voice,Aspect,Mood,Person,PronType
ἔτι,ἔτι,ἔτι,ἔτι,́τι,ε,-20.0,ADV,d--------,,advmod,0.0,ζῶντος,(),False,x̓́xx,False,False,False,False,,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἔχει,(),False,xx̀,False,False,False,False,,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,ἀνδρὸς,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,,
ἀνδρὸς,ἀνδρὸς,ἀνδρὸς,ἀνδρὸς,ὸς,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nsubj,0.0,ζῶντος,(),False,x̓xxxx̀x,False,False,False,False,Gen,Masc,Sing,,,,,,,,
μονήρη,μονήρη,μονήρη,μονήρη,́ρη,μ,-20.0,ADJ,a-s---ma-,"Case=Acc|Degree=Pos|Gender=Fem,Masc|Number=Sing",amod,0.0,βίον,(),False,xxxx́xx,False,False,False,False,Acc,"Fem,Masc",Sing,Pos,,,,,,,
βίον,βίον,βίος,βίον,́ον,β,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ζῶντος,(),False,xx́xx,False,False,False,False,Acc,Masc,Sing,,,,,,,,
ζῶντος,ζῶντος,ζῶ,ζῶντος,τος,ζ,-20.0,VERB,v-sppamg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἔχει,(),False,xx͂xxxx,False,False,False,False,Gen,Masc,Sing,,Pres,Part,Act,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φυτευθῆναι,(),False,",",False,True,False,False,,,,,,,,,,,
μήπω,μήπω,μήπω,μήπω,́πω,μ,-20.0,ADV,d--------,,advmod,0.0,διαπλασθείσης,(),False,xx́xx,False,False,False,False,,,,,,,,,,,
διαπλασθείσης,διαπλασθείσης,διαπλασθείσης,διαπλασθείσης,σης,δ,-20.0,VERB,v-sappfg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,φυτευθῆναι,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,Past,Part,Pass,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,γυναικός,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,,
γυναικός,γυναικός,γυναικός,γυναικός,ός,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nsubj,0.0,διαπλασθείσης,(),False,xxxx́x,False,False,False,False,Gen,Fem,Sing,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διαπλασθείσης,(),False,",",False,True,False,False,,,,,,,,,,,
φυτευθῆναι,φυτευθῆναι,φυτευθῆναι,φυτευθῆναι,ναι,φ,-20.0,VERB,V-,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Pass,ccomp,0.0,ἔχει,(),False,xxxx͂xxx,False,False,False,False,,,,,Past,Inf,Pass,Perf,,,
λόγος,λόγος,λόγος,λόγος,γος,λ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἔχει,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,,
ἔχει,ἔχει,ἔχω,ἔχει,χει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔχει,(),False,x̓́xxx,False,False,False,False,,,Sing,,Pres,Fin,Act,,Ind,3,
παράδεισον,παράδεισον,παράδεισος,παράδεισον,σον,π,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἔχει,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,,
ὑπὸ,ὑπὸ,ὑπὸ,ὑπὸ,πὸ,υ,-20.0,ADP,r--------,,case,0.0,θεοῦ,(),False,x̔xx̀,False,False,False,False,,,,,,,,,,,
θεοῦ,θεοῦ,θεοῦ,θεοῦ,οῦ,θ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,dep,0.0,ἔχει,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,ἡμῖν,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,,
παρὰ,παρὰ,παρὰ,παρὰ,ρὰ,π,-20.0,ADP,R-,,case,0.0,ἡμῖν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,R-,,case,0.0,ἡμῖν,(),False,’,False,True,False,False,,,,,,,,,,,
