orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Definite,PronType,Aspect,Degree
ἑπόμενος,ἑπόμενος,ἑπόμενος,ἑπόμενος,νος,ε,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,φήσει,(),False,x̔xx́xxxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,,,,,
δέ,δέ,δέ,δέ,δέ,δ,-20.0,ADV,Df,,advmod,0.0,φήσει,(),False,xx́,False,False,False,False,,,,,,,,,,,,
τις,τις,τὶς,τις,τις,τ,-20.0,ADJ,Px,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,φήσει,(),True,xxx,True,False,False,False,Nom,Masc,Sing,,,,,,,,,
εἰκότι,εἰκότι,εἰκότ,εἰκότι,́τι,ε,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,dep,0.0,φήσει,(),False,xx̓xx́xx,False,False,False,False,Dat,Masc,Sing,,,,,,,,,
στοχασμῷ,στοχασμῷ,στοχασμῷ,στοχασμῷ,ῷ,σ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,dep,0.0,φήσει,(),False,xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,,,
φήσει,φήσει,φήσει,φήσει,σει,φ,-20.0,VERB,V-,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act,ROOT,0.0,φήσει,(),False,xx́xxx,False,False,False,False,,,Sing,Fut,Fin,Act,Ind,3,,,,
προσηκόντως,προσηκόντως,προσηκόντως,προσηκόντως,τως,π,-20.0,ADV,Df,,advmod,0.0,φήσει,(),False,xxxx́xxxx,False,False,False,False,,,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Definite=Def|Gender=Masc|Number=Sing|PronType=Dem,det,0.0,ὄφιν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,Def,Dem,,
εἰρημένον,εἰρημένον,εἰρημένον,εἰρημένον,νον,ε,-20.0,VERB,v-srpema-,Aspect=Perf|Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,nmod,0.0,ὄφιν,(),False,xx̓xxxx́xxx,False,False,False,False,Acc,Masc,Sing,Past,Part,Mid,,,,,Perf,
ὄφιν,ὄφιν,ὄφις,ὄφιν,φιν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,σύμβολον,(),False,x̓́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,,,
ἡδονῆς,ἡδονῆς,ἡδονῆ,ἡδονῆς,ῆς,η,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,σύμβολον,(),False,x̔xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,V-,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,σύμβολον,(),False,xx̓͂xxx,False,False,False,False,,,,Pres,Inf,Act,,,,,,
σύμβολον,σύμβολον,σύμβολον,σύμβολον,λον,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,ccomp,0.0,φήσει,(),False,xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,,
