orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Degree,Gender,Number,Mood,Person,Tense,VerbForm,Voice
ὅθεν,ὅθεν,ὅθεν,ὅθεν,θεν,ο,-20.0,ADV,d--------,,advmod,0.0,ἐπιφέρεται,(),False,x̔́xxx,False,False,False,False,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἧττον,(),False,xx̓,False,False,False,False,,,,,,,,,
ἧττον,ἧττον,ἧττον,ἧττον,τον,η,-20.0,ADJ,a-s---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Sing,advmod,0.0,ὄφεως,(),False,x̔͂xxxx,False,False,False,False,Acc,Cmp,Neut,Sing,,,,,
ὄφεως,ὄφεως,ὄφεως,ὄφεως,εως,ο,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obj,0.0,ἐπιφέρεται,(),False,x̓́xxxx,False,False,False,False,Gen,,Masc,Sing,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ὀδοῦσιν,(),False,x̓x,False,False,False,False,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,ὀδοῦσιν,(),False,xxx͂x,False,False,False,False,Dat,,Masc,Plur,,,,,
ὀδοῦσιν,ὀδοῦσιν,ὀδοῦ,ὀδοῦσιν,σιν,ο,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,ἐπιφέρεται,(),False,x̓xxx͂xxx,False,False,False,False,Dat,,Masc,Plur,,,,,
ἐπιφέρεται,ἐπιφέρεται,ἐπιφέρω,ἐπιφέρεται,ται,ε,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐπιφέρεται,(),False,x̓xxxx́xxxx,False,False,False,False,,,,Sing,Ind,3,Pres,Fin,Mid
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἰόν,(),False,xx̀x,False,False,False,False,Acc,,Masc,Sing,,,,,
ἰόν,ἰόν,ἰός,ἰόν,όν,ι,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐπιφέρεται,(),False,x̓x́x,False,False,False,False,Acc,,Masc,Sing,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐπιφέρεται,(),False,·,False,True,False,False,,,,,,,,,
οὗτοι,οὗτοι,οὗτος,οὗτοι,τοι,ο,-20.0,PRON,p-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,ὑπηρέται,(),False,xx̔͂xxx,False,False,False,False,Nom,,Masc,Plur,,,,,
γάρ,γάρ,γάρ,γάρ,άρ,γ,-20.0,ADV,d--------,,advmod,0.0,ὑπηρέται,(),False,xx́x,False,False,False,False,,,,,,,,,
εἰσι,εἰσι,εἰμί,εἰσι,̓σι,ε,-20.0,AUX,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ὑπηρέται,(),False,xx̓xx,False,False,False,False,,,,Plur,Ind,3,Pres,Fin,Act
ἀπληστίας,ἀπληστίας,ἀπληστία,ἀπληστίας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ὑπηρέται,(),False,x̓xxxx́xx,False,False,False,False,Gen,,Fem,Sing,,,,,
ὑπηρέται,ὑπηρέται,ὑπηρέτης,ὑπηρέται,ται,υ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,ROOT,0.0,ὑπηρέται,"(ὑπουργοί,)",False,x̔xxxx́xxx,False,False,False,False,Nom,,Masc,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ὑπηρέται,(),False,xxx̀,False,False,False,False,,,,,,,,,
ὑπουργοί,ὑπουργοί,ὑπουργοί,ὑπουργοί,οί,υ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,conj,0.0,ὑπηρέται,"(ὑπηρέται,)",False,x̔xxxx́,False,False,False,False,Nom,,Masc,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πάντα᾽,(),False,",",False,True,False,False,,,,,,,,,
πάντα᾽,πάντα᾽,πάντα᾽,πάντα᾽,τα᾽,π,-20.0,PUNCT,V-,,dep,0.0,ὑπηρέται,(),False,xx́xxx᾽,False,False,False,False,,,,,,,,,
