orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Person,PronType,Mood,Tense,VerbForm,Voice,Aspect
διό,διό,διό,διό,ιό,δ,-20.0,ADV,d--------,,advmod,0.0,δοκεῖ,(),False,xxx́,False,False,False,False,,,,,,,,,,
μοι,μοι,ἐγώ,μοι,μοι,μ,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing|Person=1|PronType=Prs,iobj,0.0,δοκεῖ,(),True,xxx,True,False,False,False,Dat,Masc,Sing,1,Prs,,,,,
δοκεῖ,δοκεῖ,δοκεῖ,δοκεῖ,εῖ,δ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,ἔγραψε,(),False,xxxx͂,False,False,False,False,,,Sing,3,,Ind,Pres,Fin,Act,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,νόμοις,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,νόμοις,(),False,x̓x,False,False,False,False,,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,νόμοις,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μέρος,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
μέρος,μέρος,μέρος,μέρος,ρος,μ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,νόμοις,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
νόμοις,νόμοις,νόμος,νόμοις,οις,ν,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,δοκεῖ,(),False,xx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δοκεῖ,(),False,",",False,True,False,False,,,,,,,,,,
οὗ,οὗ,οὗ,οὗ,ὗ,ο,-20.0,ADV,d--------,,advmod,0.0,ζῴων,(),False,xx̔͂,False,False,False,False,,,,,,,,,,
περὶ,περὶ,περὶ,περὶ,ρὶ,π,-20.0,ADP,r--------,,case,0.0,ζῴων,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
ζῴων,ζῴων,ζῴον,ζῴων,ͅων,ζ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,ἔγραψε,(),False,xx́ͅxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἔγραψε,ἔγραψε,ἔγραψε,ἔγραψε,αψε,ε,-20.0,VERB,V-,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔγραψε,(),False,x̓́xxxx,False,False,False,False,,,Sing,3,,Ind,Past,Fin,Act,Perf
ἅ,ἅ,ἅ,ἅ,ἅ,α,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,χρὴ,"(τοὐναντίον,)",False,x̔́,False,False,False,False,Acc,Neut,Plur,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,χρὴ,(),True,xx,True,False,False,False,,,,,,,,,,
χρὴ,χρὴ,χρὴ,χρὴ,ρὴ,χ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ccomp,0.0,ἐπαινέσαι,(),False,xxx̀,False,False,False,False,,,Sing,3,,Ind,Pres,Fin,Act,
προσφέρεσθαι,προσφέρεσθαι,προσφέρω,προσφέρεσθαι,θαι,π,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,csubj,0.0,χρὴ,(),False,xxxx́xxxx,False,False,False,False,,,,,,,Pres,Inf,Mid,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,χρὴ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τοὐναντίον,τοὐναντίον,τοὐναντίον,τοὐναντίον,́ον,τ,-20.0,ADJ,d--------,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἅ,"(ἅ,)",False,xxx̓xxxx́xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,fixed,0.0,χρὴ,(),False,",",False,True,False,False,,,,,,,,,,
ἐπαινέσαι,ἐπαινέσαι,ἐπαινέω,ἐπαινέσαι,σαι,ε,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,ccomp,0.0,ἔγραψε,"(λεϝ,)",False,x̓xxxx́xxx,False,False,False,False,,,,,,,Past,Inf,Act,
μάλιστα,μάλιστα,μάλιστα,μάλιστα,στα,μ,-20.0,ADV,d--------,,advmod,0.0,ἐπαινέσαι,(),False,xx́xxxx,False,False,False,False,,,,,,,,,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ὀφιομάχην,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ὀφιομάχην,ὀφιομάχην,ὀφιομάχης,ὀφιομάχην,χην,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐπαινέσαι,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
