orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Definite,PronType,Degree
"11,22)—ἑρπετὸν","11,22)—ἑρπετὸν","11,22)—ἑρπετὸν","11,22)—ἑρπετὸν",ὸν,1,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,"11,22)—ἑρπετὸν",(),False,"dd,dd)—x̔xxxx̀x",False,False,False,False,Nom,Neut,Sing,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,"11,22)—ἑρπετὸν",(),False,xx̀,False,False,False,False,,,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,dep,0.0,"11,22)—ἑρπετὸν",(),False,’,False,True,False,False,,,,,,,,,,,,
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἔχον,(),False,x̓xxx̀,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,,,
ἔχον,ἔχον,ἔχω,ἔχον,χον,ε,-20.0,VERB,v-sppann-,Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,punct,0.0,"11,22)—ἑρπετὸν",(),False,x̓́xxx,False,False,False,False,Nom,Neut,Sing,,,Pres,Part,Act,,,,
ἀνωτέρω,ἀνωτέρω,ἀνωτέρω,ἀνωτέρω,́ρω,α,-20.0,ADV,d--------,,amod,0.0,σκέλη,(),False,x̓xxxx́xx,False,False,False,False,,,,,,,,,,,,
σκέλη,σκέλη,σκέλος,σκέλη,́λη,σ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ἔχον,(),False,xxx́xx,False,False,False,False,Acc,Neut,Plur,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ποδῶν,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,,,
ποδῶν,ποδῶν,ποδῶν,ποδῶν,ῶν,π,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,σκέλη,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πέφυκε,(),False,",",False,True,False,False,,,,,,,,,,,,
οἷς,οἷς,οἷς,οἷς,̔͂ς,ο,-20.0,PRON,p-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,πηδᾶν,(),False,xx̔͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,γῆς,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,πέφυκε,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,,,
πέφυκε,πέφυκε,πέφυκα,πέφυκε,υκε,π,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,σκέλη,(),False,xx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Perf,,,
πηδᾶν,πηδᾶν,πηδᾶν,πηδᾶν,ᾶν,π,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,πέφυκε,"(αἴρεσθαι,)",False,xxxx͂x,False,False,False,False,,,,,,Pres,Inf,Act,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πηδᾶν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
μετέωρον,μετέωρον,μετέωρος,μετέωρον,ρον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,xcomp,0.0,αἴρεσθαι,(),False,xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,,
αἴρεσθαι,αἴρεσθαι,αἴρω,αἴρεσθαι,θαι,α,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,conj,0.0,πηδᾶν,"(πηδᾶν,)",False,xx̓́xxxx,False,False,False,False,,,,,,Pres,Inf,Mid,,,,
καθάπερ,καθάπερ,καθάπερ,καθάπερ,περ,κ,-20.0,ADV,d--------,,advmod,0.0,πηδᾶν,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,γένος,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,ἀκρίδων,(),False,xx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,,,,
ἀκρίδων,ἀκρίδων,ἀκρίς,ἀκρίδων,δων,α,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,γένος,(),False,x̓xxx́xxx,False,False,False,False,Gen,Fem,Plur,,,,,,,,,
γένος,γένος,γένος,γένος,νος,γ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,καθάπερ,(),False,xx́xxx,False,False,False,False,Nom,Neut,Sing,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Definite=Def|Gender=Masc|Number=Sing|PronType=Dem,det,0.0,ἐγκράτεια,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,Def,Dem,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,δοκεῖ,(),False,xx̀x,False,False,False,False,,,,,,,,,,,,
ὀφιομάχης,ὀφιομάχης,ὀφιομάχης,ὀφιομάχης,χης,ο,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἄλλα᾽,(),False,x̓xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,,,
οὐδὲν,οὐδὲν,οὐδὲν,οὐδὲν,ὲν,ο,-20.0,ADJ,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἄλλα᾽,(),False,xx̓xx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,,,,
ἄλλα᾽,ἄλλα᾽,ἄλλα᾽,ἄλλα᾽,λα᾽,α,-20.0,PUNCT,V-,,advcl,0.0,δοκεῖ,(),False,x̓́xxx᾽,False,False,False,False,,,,,,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,d--------,,advmod,0.0,δοκεῖ,(),False,x̓̀,False,False,False,False,,,,,,,,,,,,
συμβολικῶς,συμβολικῶς,συμβολικῶς,συμβολικῶς,ῶς,σ,-20.0,ADV,d--------,,advmod,0.0,δοκεῖ,(),False,xxxx͂x,False,False,False,False,,,,,,,,,,,,
ἐγκράτεια,ἐγκράτεια,ἐγκράτεια,ἐγκράτεια,εια,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,δοκεῖ,(),False,x̓xxxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,,,
εἶναί,εἶναί,εἶναί,εἶναί,αί,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,dep,0.0,δοκεῖ,(),False,xx̓͂xxx́,False,False,False,False,,,,,,Pres,Inf,Act,,,,
μοι,μοι,ἐγώ,μοι,μοι,μ,-20.0,PRON,p1s---md-,Case=Dat|Gender=Masc|Number=Sing|Person=1,obj,0.0,δοκεῖ,(),True,xxx,True,False,False,False,Dat,Masc,Sing,,1,,,,,,,
δοκεῖ,δοκεῖ,δοκεῖ,δοκεῖ,εῖ,δ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,punct,0.0,"11,22)—ἑρπετὸν",(),False,xxxx͂,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐκφέρουσα,(),False,",",False,True,False,False,,,,,,,,,,,,
μάχην,μάχην,μάχη,μάχην,χην,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐκφέρουσα,"(πόλεμον,)",False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
ἀκαθαίρετον,ἀκαθαίρετον,ἀκαθαίρετος,ἀκαθαίρετον,τον,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,μάχην,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μάχην,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
πόλεμον,πόλεμον,πόλεμος,πόλεμον,μον,π,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,μάχην,"(μάχην,)",False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,,,
ἄσπονδον,ἄσπονδον,ἄσπονδος,ἄσπονδον,δον,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,advmod,0.0,ἐκφέρουσα,(),False,x̓́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
ἐκφέρουσα,ἐκφέρουσα,ἐκφέρω,ἐκφέρουσα,υσα,ε,-20.0,VERB,v-sppafn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,δοκεῖ,(),False,x̓xxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,Pres,Part,Act,,,,
