orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Definite,Gender,Number,PronType,Polarity,Degree,Aspect,Tense,VerbForm,Voice,Mood,Person
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,S-,Case=Nom|Definite=Def|Gender=Masc|Number=Sing|PronType=Dem,det,0.0,προμαθὼν,(),False,x̔,False,False,False,False,Nom,Def,Masc,Sing,Dem,,,,,,,,
δὴ,δὴ,δὴ,δὴ,δὴ,δ,-20.0,ADV,Df,,discourse,0.0,προμαθὼν,(),False,xx̀,False,False,False,False,,,,,,,,,,,,,
ταῦτα,ταῦτα,ταῦτα,ταῦτα,͂τα,τ,-20.0,ADJ,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ἀκοῇ,(),False,xxx͂xx,False,False,False,False,Acc,,Neut,Plur,,,,,,,,,
μὴ,μὴ,μὴ,μὴ,μὴ,μ,-20.0,ADV,Df,Polarity=Neg,advmod,0.0,ἀκοῇ,(),False,xx̀,False,False,False,False,,,,,,Neg,,,,,,,
ἀκοῇ,ἀκοῇ,ἀκοῇ,ἀκοῇ,ῇ,α,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,προμαθὼν,(),False,x̓xxx͂ͅ,False,False,False,False,Dat,,Fem,Sing,,,,,,,,,
μᾶλλον,μᾶλλον,μᾶλλον,μᾶλλον,λον,μ,-20.0,ADV,Df,Degree=Cmp,advmod,0.0,προμαθὼν,"(διανοίᾳ,)",False,xx͂xxxx,False,False,False,False,,,,,,,Cmp,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,advmod,0.0,μᾶλλον,(),False,x̓̀,False,False,False,False,,,,,,,,,,,,,
διανοίᾳ,διανοίᾳ,διανοίᾳ,διανοίᾳ,́ᾳ,δ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,conj,0.0,μᾶλλον,"(μᾶλλον,)",False,xxxx́xͅ,False,False,False,False,Dat,,Fem,Sing,,,,,,,,,
προμαθὼν,προμαθὼν,προμαθὼν,προμαθὼν,ὼν,π,-20.0,VERB,v-sapamn-,Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,βιώσεται,"(σφραγιςάμενος, ἔστι, ὑπάρχει, εἷς, πεποίηκε)",False,xxxx̀x,False,False,False,False,Nom,,Masc,Sing,,,,Perf,Past,Part,Act,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,προμαθὼν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,R-,,case,0.0,ψυχῇ,(),False,x̓x,False,False,False,False,,,,,,,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Definite=Def|Gender=Fem|Number=Sing|PronType=Dem,det,0.0,ψυχῇ,(),False,xx͂ͅ,False,False,False,False,Dat,Def,Fem,Sing,Dem,,,,,,,,
αὑτοῦ,αὑτοῦ,αὑτοῦ,αὑτοῦ,οῦ,α,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ψυχῇ,(),False,xx̔xxx͂,False,False,False,False,Gen,,Masc,Sing,,,,,,,,,
ψυχῇ,ψυχῇ,ψυχῇ,ψυχῇ,ῇ,ψ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,σφραγιςάμενος,(),False,xxxx͂ͅ,False,False,False,False,Dat,,Fem,Sing,,,,,,,,,
σφραγιςάμενος,σφραγιςάμενος,σφραγιςάμενος,σφραγιςάμενος,νος,σ,-20.0,VERB,v-sapmmn-,Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,conj,0.0,προμαθὼν,"(προμαθὼν, ἔστι, ὑπάρχει, εἷς, πεποίηκε)",False,xxxx́xxxx,False,False,False,False,Nom,,Masc,Sing,,,,Perf,Past,Part,Mid,,
θαυμάσια,θαυμάσια,θαυμάσιος,θαυμάσια,σια,θ,-20.0,ADJ,A-,Case=Acc|Degree=Pos|Gender=Neut|Number=Plur,amod,0.0,εἴδη,"(περιμάχητα,)",False,xxxx́xxx,False,False,False,False,Acc,,Neut,Plur,,,Pos,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,θαυμάσια,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
περιμάχητα,περιμάχητα,περιμάχητος,περιμάχητα,ητα,π,-20.0,ADJ,A-,Case=Acc|Degree=Pos|Gender=Neut|Number=Plur,conj,0.0,θαυμάσια,"(θαυμάσια,)",False,xxxx́xxxx,False,False,False,False,Acc,,Neut,Plur,,,Pos,,,,,,
εἴδη,εἴδη,εἴδος,εἴδη,́δη,ε,-20.0,NOUN,Nb,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,σφραγιςάμενος,(),False,xx̓́xx,False,False,False,False,Acc,,Neut,Plur,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔστι,(),False,",",False,True,False,False,,,,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,C-,,cc,0.0,ἔστι,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,G-,,mark,0.0,ἔστι,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,,,
ἔστι,ἔστι,ἔστι,ἔστι,στι,ε,-20.0,AUX,V-,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,προμαθὼν,"(προμαθὼν, σφραγιςάμενος, ὑπάρχει, εἷς, πεποίηκε)",False,x̓́xxx,False,False,False,False,,,,Sing,,,,,Pres,Fin,Act,Ind,3
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,C-,,cc,0.0,ἔστι,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
ὑπάρχει,ὑπάρχει,ὑπάρχω,ὑπάρχει,χει,υ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,ἔστι,"(προμαθὼν, σφραγιςάμενος, ἔστι, εἷς, πεποίηκε)",False,x̔xx́xxxx,False,False,False,False,,,,Sing,,,,,Pres,Fin,Act,Ind,3
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ὑπάρχει,(),False,xxx̀x,False,False,False,False,Nom,,Masc,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,C-,,cc,0.0,ἔστι,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,G-,,mark,0.0,εἷς,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,,,
εἷς,εἷς,εἷς,εἷς,̔͂ς,ε,-20.0,NUM,Ma,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἔστι,"(προμαθὼν, σφραγιςάμενος, ἔστι, ὑπάρχει, πεποίηκε)",False,xx̔͂x,False,False,False,False,Nom,,Masc,Sing,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,S-,Case=Nom|Definite=Def|Gender=Masc|Number=Sing|PronType=Dem,det,0.0,ὢν,(),False,x̔,False,False,False,False,Nom,Def,Masc,Sing,Dem,,,,,,,,
ὢν,ὢν,ὢν,ὢν,̓̀ν,ω,-20.0,AUX,V-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,det,0.0,εἷς,(),False,x̓̀x,False,False,False,False,Nom,,Masc,Sing,,,,,Pres,Part,Act,,
ὄντως,ὄντως,ὄντως,ὄντως,τως,ο,-20.0,ADV,d--------,,advmod,0.0,ἐστὶ,(),False,x̓́xxxx,False,False,False,False,,,,,,,,,,,,,
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,εἷς,(),False,x̓xxx̀,False,False,False,False,,,,Sing,,,,,Pres,Fin,Act,Ind,3
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,C-,,cc,0.0,εἷς,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
