orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person,Degree
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,γὰρ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,εἶχε,(),False,xx̀x,False,False,False,False,,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,ἐποεει,(),False,xx̓,False,False,False,False,,,,,,,,,,
πάντα᾽,πάντα᾽,πάντα᾽,πάντα᾽,τα᾽,π,-20.0,ADV,d--------,,advmod,0.0,ἐποεει,(),False,xx́xxx᾽,False,False,False,False,,,,,,,,,,
ἅμα,ἅμα,ἅμα,ἅμα,́μα,α,-20.0,ADV,d--------,,advmod,0.0,ἐποεει,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ποιῶν,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
ποιῶν,ποιῶν,ποιῶ,ποιῶν,ῶν,π,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nsubj,0.0,ἐποεει,(),False,xxxx͂x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,,
ἐποεει,ἐποεει,ἐποεει,ἐποεει,εει,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,εἶχε,(),False,x̓xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Imp,Ind,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐποεει,(),False,",",False,True,False,False,,,,,,,,,,
τάξιν,τάξιν,τάξις,τάξιν,ξιν,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,εἶχε,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
οὐδὲν,οὐδὲν,οὐδὲν,οὐδὲν,ὲν,ο,-20.0,PRON,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,εἶχε,(),False,xx̓xx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἧττον,ἧττον,ἧττον,ἧττον,τον,η,-20.0,ADJ,a-s---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Sing,advmod,0.0,οὐδὲν,(),False,x̔͂xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,Cmp
εἶχε,εἶχε,εἶχε,εἶχε,͂χε,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,εἶχε,(),False,xx̓͂xx,False,False,False,False,,,Sing,Past,Fin,Act,Imp,Ind,3,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,γινόμενα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
καλῶς,καλῶς,καλῶς,καλῶς,ῶς,κ,-20.0,ADV,d--------,,advmod,0.0,γινόμενα,(),False,xxxx͂x,False,False,False,False,,,,,,,,,,
γινόμενα,γινόμενα,γινόμενα,γινόμενα,ενα,γ,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nsubj,0.0,εἶχε,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,Pres,Part,Mid,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,εἶχε,(),False,·,False,True,False,False,,,,,,,,,,
καλὸν,καλὸν,καλὸν,καλὸν,ὸν,κ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,καλὸν,(),False,xxxx̀x,False,False,False,False,Nom,Neut,Sing,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,καλὸν,(),False,xx̀x,False,False,False,False,,,,,,,,,,
οὐδὲν,οὐδὲν,οὐδὲν,οὐδὲν,ὲν,ο,-20.0,PRON,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,καλὸν,(),False,xx̓xx̀x,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἀταξίᾳ.,(),False,x̓x,False,False,False,False,,,,,,,,,,
ἀταξίᾳ.,ἀταξίᾳ.,ἀταξίᾳ.,ἀταξίᾳ.,ᾳ.,α,-20.0,PUNCT,u--------,,punct,0.0,καλὸν,(),False,x̓xxxx́xͅ.,False,False,False,False,,,,,,,,,,
