orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,PronType,Aspect
οὗτοι,οὗτοι,οὗτος,οὗτοι,τοι,ο,-20.0,ADJ,Pd,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,ἑσπέρα,(),False,xx̔͂xxx,False,False,False,False,Nom,Masc,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,Df,,discourse,0.0,ἑσπέρα,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,Df,,advmod,0.0,ἑσπέρα,(),False,’,False,True,False,False,,,,,,,,,,
εἰσὶ,εἰσὶ,εἰσὶ,εἰσὶ,σὶ,ε,-20.0,AUX,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἑσπέρα,(),False,xx̓xx̀,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act,,
ἑσπέρα,ἑσπέρα,ἑσπέρα,ἑσπέρα,́ρα,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἑσπέρα,"(πρώια,)",False,x̔xxx́xx,False,False,False,False,Nom,Fem,Sing,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,C-,,advmod,0.0,ἑσπέρα,(),True,xx,True,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἑσπέρα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πρώια,πρώια,πρώιος,πρώια,́ια,π,-20.0,NOUN,n-d---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ἑσπέρα,"(ἑσπέρα,)",False,xxx́xx,False,False,False,False,Nom,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,προευαγγελίζεται,(),False,",",False,True,False,False,,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,Pr,Case=Gen|Gender=Masc|Number=Plur|PronType=Rel,nmod,0.0,ἀνίσχειν,(),False,x̔͂x,False,False,False,False,Gen,Masc,Plur,,,,,,Rel,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,PRON,Pp,Case=Nom|Gender=Fem|Number=Sing|Person=3|PronType=Prs,det,0.0,ἑσπέρα,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,3,,,,Prs,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,προευαγγελίζεται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
προευαγγελίζεται,προευαγγελίζεται,προευαγγελίζομαι,προευαγγελίζεται,ται,π,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,ἑσπέρα,"(ἐπιγίνεται,)",False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,
μέλλοντα,μέλλοντα,μέλλω,μέλλοντα,ντα,μ,-20.0,VERB,v-sppama-,Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,προευαγγελίζεται,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,Pres,Part,Act,,
ἥλιον,ἥλιον,ἥλιος,ἥλιον,ιον,η,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἀνίσχειν,(),False,x̔́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἀνίσχειν,ἀνίσχειν,ἀνίσχω,ἀνίσχειν,ειν,α,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,μέλλοντα,(),False,x̓xx́xxxx,False,False,False,False,,,,,,Pres,Inf,Act,,
ἠρέμα,ἠρέμα,ἠρέμα,ἠρέμα,́μα,η,-20.0,ADV,d--------,,advmod,0.0,ἀνείργουσα,(),False,x̓xx́xx,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,σκότος,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
σκότος,σκότος,σκότος,σκότος,τος,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἀνείργουσα,(),False,xxx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἀνείργουσα,ἀνείργουσα,ἀνείργω,ἀνείργουσα,υσα,α,-20.0,VERB,v-sppafn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,προευαγγελίζεται,(),False,x̓xxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,Pres,Part,Act,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡ,(),False,",",False,True,False,False,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ἑσπέρα,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,προευαγγελίζεται,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,Df,,advmod,0.0,ἐπιγίνεται,(),False,’,False,True,False,False,,,,,,,,,,
ἑσπέρα,ἑσπέρα,ἑσπέρα,ἑσπέρα,́ρα,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἐπιγίνεται,(),False,x̔xxx́xx,False,False,False,False,Nom,Fem,Sing,,,,,,,
καταδύντι,καταδύντι,καταδύω,καταδύντι,ντι,κ,-20.0,VERB,v-sapamd-,Aspect=Perf|Case=Dat|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐπιγίνεται,(),False,xxxx́xxx,False,False,False,False,Dat,Masc,Sing,,,Past,Part,Act,,Perf
