orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Mood,Person
εἰκότως,εἰκότως,εἰκότως,εἰκότως,τως,ε,-20.0,ADV,d--------,,advmod,0.0,ἀντιθεὶς,(),False,xx̓xx́xxx,False,False,False,False,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,ἐκάλεσε,(),False,xx̓͂x,False,False,False,False,,,,,,,,,
ἀντιθεὶς,ἀντιθεὶς,ἀντιθεὶς,ἀντιθεὶς,ὶς,α,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐκάλεσε,(),False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,νοητῷ,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
νοητῷ,νοητῷ,νοητῷ,νοητῷ,ῷ,ν,-20.0,ADJ,A-,Case=Dat|Degree=Pos|Gender=Masc|Number=Sing,iobj,0.0,ἀντιθεὶς,"(ἀσωμάτῳ,)",False,xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,Pos,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,νοητῷ,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀσωμάτῳ,ἀσωμάτῳ,ἀσωμάτῳ,ἀσωμάτῳ,τῳ,α,-20.0,ADJ,A-,Case=Dat|Degree=Pos|Gender=Masc|Number=Sing,conj,0.0,νοητῷ,"(νοητῷ,)",False,x̓xxxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,Pos,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,αἰσθητὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
αἰσθητὸν,αἰσθητὸν,αἰσθητὸν,αἰσθητὸν,ὸν,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἀντιθεὶς,"(σωματοειδῆ,)",False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,αἰσθητὸν,(),False,xxx̀,False,False,False,False,,,,,,,,,
σωματοειδῆ,σωματοειδῆ,σωματοειδῆ,σωματοειδῆ,δῆ,σ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,αἰσθητὸν,"(αἰσθητὸν,)",False,xxxx͂,False,False,False,False,Acc,Masc,Sing,,,,,,
τοῦτον,τοῦτον,τοῦτον,τοῦτον,τον,τ,-20.0,PRON,p-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐκάλεσε,(),False,xxx͂xxx,False,False,False,False,Acc,Masc,Sing,,,,,,
στερέωμα,στερέωμα,στερέωμα,στερέωμα,ωμα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,xcomp,0.0,ἐκάλεσε,(),False,xxxx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
ἐκάλεσε,ἐκάλεσε,ἐκάλεσε,ἐκάλεσε,εσε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐκάλεσε,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,,Ind,3
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐκάλεσε,(),False,.,False,True,False,False,,,,,,,,,
