orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,PronType
ὀνομάζει,ὀνομάζει,ὀνομάζω,ὀνομάζει,ζει,ο,-20.0,VERB,V-,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ὀνομάζει,(),False,x̓xxxx́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,discourse,0.0,ὀνομάζει,(),False,xx̀,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ὀνομάζει,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἡμέραν,ἡμέραν,ἡμέρα,ἡμέραν,ραν,η,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ὀνομάζει,(),False,x̔xx́xxx,False,False,False,False,,Sing,,,,,Acc,Fem,
μετὰ,μετὰ,μετὰ,μετὰ,τὰ,μ,-20.0,ADP,r--------,,case,0.0,γένεσιν,(),False,xxxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γένεσιν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
γένεσιν,γένεσιν,γένεσις,γένεσιν,σιν,γ,-20.0,NOUN,Nb,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,δευτέραν,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem,
αὐτοῦ,αὐτοῦ,αὐτοῦ,αὐτοῦ,οῦ,α,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing|Person=3|PronType=Prs,det,0.0,γένεσιν,(),False,xx̓xxx͂,False,False,False,False,,Sing,3,,,,Gen,Masc,Prs
δευτέραν,δευτέραν,δευτέραν,δευτέραν,ραν,δ,-20.0,ADJ,Mo,Case=Acc|Gender=Fem|Number=Sing,amod,0.0,ἡμέραν,(),False,xxxx́xxx,False,False,False,False,,Sing,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διάστημα,(),False,",",False,True,False,False,,,,,,,,,
ὅλον,ὅλον,ὅλος,ὅλον,λον,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,amod,0.0,διάστημα,(),False,x̔́xxx,False,False,False,False,,Sing,,,,,Acc,Neut,
ἡμέρας,ἡμέρας,ἡμέρα,ἡμέρας,ρας,η,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,διάστημα,(),False,x̔xx́xxx,False,False,False,False,,Sing,,,,,Gen,Fem,
διάστημα,διάστημα,διάστημα,διάστημα,ημα,δ,-20.0,NOUN,Nb,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ὀνομάζει,"(ἀνατιθεὶς,)",False,xxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Neut,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,διάστημα,(),False,xxx̀,False,False,False,False,,,,,,,,,
μέτρον,μέτρον,μέτρον,μέτρον,ρον,μ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἀνατιθεὶς,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Acc,Neut,
ἀνατιθεὶς,ἀνατιθεὶς,ἀνατιθεὶς,ἀνατιθεὶς,ὶς,α,-20.0,VERB,V-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,διάστημα,"(διάστημα,)",False,x̓xxxx̀x,False,False,False,False,,Sing,,Pres,Part,Act,Nom,Masc,
οὐρανῷ,οὐρανῷ,οὐρανῷ,οὐρανῷ,ῷ,ο,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,ἀνατιθεὶς,(),False,xx̓xxxx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ἀξίωσίν,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἀξίωσίν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,αἰσθητοῖς,(),False,x̓x,False,False,False,False,,,,,,,,,
αἰσθητοῖς,αἰσθητοῖς,αἰσθητοῖς,αἰσθητοῖς,ῖς,α,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,ἀξίωσίν,(),False,xx̓xxxx͂x,False,False,False,False,,Plur,,,,,Dat,Neut,
ἀξίωσίν,ἀξίωσίν,ἀξίωσίς,ἀξίωσίν,ίν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἀνατιθεὶς,"(τιμήν,)",False,x̓xx́xxx́x,False,False,False,False,,Sing,,,,,Acc,Fem,
τε,τε,τε,τε,τε,τ,-20.0,CCONJ,C-,,advmod,0.0,ἀξίωσίν,(),True,xx,True,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀξίωσίν,(),False,xxx̀,False,False,False,False,,,,,,,,,
τιμήν,τιμήν,τιμή,τιμήν,ήν,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἀξίωσίν,"(ἀξίωσίν,)",False,xxxx́x,False,False,False,False,,Sing,,,,,Acc,Fem,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ὀνομάζει,(),False,.,False,True,False,False,,,,,,,,,
