orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Tense,VerbForm,Voice,Mood,Person
οὐδὲν,οὐδὲν,οὐδὲν,οὐδὲν,ὲν,ο,-20.0,PRON,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἀπέτεινε,(),False,xx̓xx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀπέτεινε,(),False,xx̀,False,False,False,False,,,,,,,,,
ἧττον,ἧττον,ἧττον,ἧττον,τον,η,-20.0,ADJ,a-s---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Sing,nmod,0.0,οὐδὲν,(),False,x̔͂xxxx,False,False,False,False,Acc,Neut,Sing,Cmp,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,διαφύσεις,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,διαφύσεις,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
ἀφανεῖς,ἀφανεῖς,ἀφανεῖς,ἀφανεῖς,ῖς,α,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,διαφύσεις,(),False,x̓xxxx͂x,False,False,False,False,Acc,Fem,Plur,,,,,,
ἐνίκμους,ἐνίκμους,ἐνίκμους,ἐνίκμους,ους,ε,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,διαφύσεις,(),False,x̓xx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,
διαφύσεις,διαφύσεις,διαφύσεις,διαφύσεις,εις,δ,-20.0,NOUN,Nb,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀπέτεινε,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,ἰὴν,(),False,xx̓x,False,False,False,False,,,,,,,,,
ἅπασαν,ἅπασαν,ἅπας,ἅπασαν,σαν,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἰὴν,(),False,x̔́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
ἰὴν,ἰὴν,ἰὴν,ἰὴν,ὴν,ι,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἀπέτεινε,"(βαθύγειον,)",False,x̓x̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἀρετῶσαν,ἀρετῶσαν,ἀρετῶσαν,ἀρετῶσαν,σαν,α,-20.0,VERB,v-sppafa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ἰὴν,(),False,x̓xxxx͂xxx,False,False,False,False,Acc,Fem,Sing,,Pres,Part,Act,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἰὴν,(),False,xxx̀,False,False,False,False,,,,,,,,,
βαθύγειον,βαθύγειον,βαθύγειος,βαθύγειον,ιον,β,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἰὴν,"(ἰὴν,)",False,xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
ἀπέτεινε,ἀπέτεινε,ἀπέτεινε,ἀπέτεινε,ινε,α,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀπέτεινε,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,,Past,Fin,Act,Ind,3
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,R-,,case,0.0,εὐφορίαν,(),False,xxx̀x,False,False,False,False,,,,,,,,,
εὐφορίαν,εὐφορίαν,εὐφορία,εὐφορίαν,́αν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἀπέτεινε,(),False,xx̓xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,
ἀφθονωτάτην,ἀφθονωτάτην,ἀφθονωτάτην,ἀφθονωτάτην,την,α,-20.0,ADJ,a-s---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,εὐφορίαν,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Sing,Sup,,,,,
καρπῶν,καρπῶν,καρπῶν,καρπῶν,ῶν,κ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἀφθονωτάτην,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀπέτεινε,(),False,.,False,True,False,False,,,,,,,,,
