orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Tense,VerbForm,Voice,Mood,Number,Person,Case,Gender,Aspect
εἶτα,εἶτα,εἶτα,εἶτα,͂τα,ε,-20.0,ADV,d--------,,advmod,0.0,ἄρχεται,(),False,xx̓͂xx,False,False,False,False,,,,,,,,,
διακοσμεῖν,διακοσμεῖν,διακοσμεῖν,διακοσμεῖν,ῖν,δ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,ἄρχεται,(),False,xxxx͂x,False,False,False,False,Pres,Inf,Act,,,,,,
ἄρχεται,ἄρχεται,ἄρχω,ἄρχεται,ται,α,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἄρχεται,(),False,x̓́xxxx,False,False,False,False,Pres,Fin,Mid,Ind,Sing,3,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γῆν,(),False,xx̀x,False,False,False,False,,,,,Sing,,Acc,Fem,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἄρχεται,(),False,xx͂x,False,False,False,False,,,,,Sing,,Acc,Fem,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἄρχεται,(),False,·,False,True,False,False,,,,,,,,,
κελεύει,κελεύει,κελεύω,κελεύει,́ει,κ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,κελεύει,(),False,xxxx́xx,False,False,False,False,Pres,Fin,Act,Ind,Sing,3,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,κελεύει,(),False,xx̀x,False,False,False,False,,,,,,,,,
αὐτὴν,αὐτὴν,αὐτὴν,αὐτὴν,ὴν,α,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,χλοηφορεῖν,(),False,xx̓xx̀x,False,False,False,False,,,,,Sing,,Acc,Fem,
χλοηφορεῖν,χλοηφορεῖν,χλοηφορεῖν,χλοηφορεῖν,ῖν,χ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,ccomp,0.0,κελεύει,"(σταχυηφορεῖν,)",False,xxxx͂x,False,False,False,False,Pres,Inf,Act,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,χλοηφορεῖν,(),False,xxx̀,False,False,False,False,,,,,,,,,
σταχυηφορεῖν,σταχυηφορεῖν,σταχυηφορεῖν,σταχυηφορεῖν,ῖν,σ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,conj,0.0,χλοηφορεῖν,"(χλοηφορεῖν,)",False,xxxx͂x,False,False,False,False,Pres,Inf,Act,,,,,,
παντοίας,παντοίας,παντοίος,παντοίας,́ας,π,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,βοτάνας,(),False,xxxx́xx,False,False,False,False,,,,,Plur,,Acc,Fem,
βοτάνας,βοτάνας,βοτάνα,βοτάνας,νας,β,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀνιεῖσαν,"(πεδία,)",False,xxxx́xxx,False,False,False,False,,,,,Plur,,Acc,Fem,
ἀνιεῖσαν,ἀνιεῖσαν,ἀνιεῖσαν,ἀνιεῖσαν,σαν,α,-20.0,VERB,v-sppafa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,χλοηφορεῖν,(),False,x̓xxxx͂xxx,False,False,False,False,Pres,Part,Act,,Sing,,Acc,Fem,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ἀνιεῖσαν,(),False,xxx̀,False,False,False,False,,,,,,,,,
πεδία,πεδία,πεδίον,πεδία,ία,π,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,conj,0.0,βοτάνας,"(βοτάνας,)",False,xxxx́x,False,False,False,False,,,,,Plur,,Acc,Neut,
εὔχορτα,εὔχορτα,εὔχορτος,εὔχορτα,ρτα,ε,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,πεδία,(),False,xx̓́xxxx,False,False,False,False,,,,,Plur,,Acc,Neut,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,βοτάνας,(),False,xxx̀,False,False,False,False,,,,,,,,,
