orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,ROOT,0.0,ἀλλὰ᾽,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,μόνον,(),False,xx̓,False,False,False,False,,,,,,,,,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἦσαν,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
ἦσαν,ἦσαν,ἦσαν,ἦσαν,σαν,η,-20.0,AUX,v3piia---,Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,τροφαὶ,(),False,x̓͂xxx,False,False,False,False,,,Plur,Imp,Ind,3,Past,Fin,Act
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,καρποὶ,(),False,xx̔,False,False,False,False,Nom,Masc,Plur,,,,,,
καρποὶ,καρποὶ,καρποὶ,καρποὶ,οὶ,κ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,τροφαὶ,(),False,xxxx̀,False,False,False,False,Nom,Masc,Plur,,,,,,
τροφαὶ,τροφαὶ,τροφαὶ,τροφαὶ,αὶ,τ,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,nsubj,0.0,ἀλλὰ᾽,(),False,xxxx̀,False,False,False,False,Nom,Fem,Plur,,,,,,
ζῴοις,ζῴοις,ζῴον,ζῴοις,οις,ζ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,τροφαὶ,"(παρασκευαὶ,)",False,xx́ͅxxx,False,False,False,False,Dat,Neut,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀλλὰ,(),False,",",False,True,False,False,,,,,,,,,
ἀλλὰ,ἀλλὰ,ἀλλὰ,ἀλλὰ,λὰ,α,-20.0,CCONJ,c--------,,cc,0.0,ζῴοις,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,παρασκευαὶ,(),False,xxx̀,False,False,False,False,,,,,,,,,
παρασκευαὶ,παρασκευαὶ,παρασκευαὶ,παρασκευαὶ,αὶ,π,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,ζῴοις,"(ζῴοις,)",False,xxxx̀,False,False,False,False,Nom,Fem,Plur,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,γένεσιν,(),False,xxx̀x,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γένεσιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ὁμοίων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
ὁμοίων,ὁμοίων,ὁμοίων,ὁμοίων,́ων,ο,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,γένεσιν,(),False,x̔xxx́xx,False,False,False,False,Gen,Masc,Plur,,,,,,
ἀεὶ,ἀεὶ,ἀεὶ,ἀεὶ,εὶ,α,-20.0,ADV,d--------,,advmod,0.0,γένεσιν,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
γένεσιν,γένεσιν,γένεσις,γένεσιν,σιν,γ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,παρασκευαὶ,(),False,xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,περιέχοντες,(),False,",",False,True,False,False,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,οὐσίας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
σπερματικὰς,σπερματικὰς,σπερματικὰς,σπερματικὰς,ὰς,σ,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,οὐσίας,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
οὐσίας,οὐσίας,οὐσία,οὐσίας,́ας,ο,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,περιέχοντες,(),False,xx̓xx́xx,False,False,False,False,Acc,Fem,Plur,,,,,,
περιέχοντες,περιέχοντες,περιέχω,περιέχοντες,τες,π,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,ROOT,0.0,περιέχοντες,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,Pres,Part,Act
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄδηλοι,(),False,",",False,True,False,False,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,αἷς,(),False,x̓x,False,False,False,False,,,,,,,,,
αἷς,αἷς,αἷς,αἷς,̔͂ς,α,-20.0,PRON,p-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,ἄδηλοι,(),False,xx̔͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
ἄδηλοι,ἄδηλοι,ἄδηλος,ἄδηλοι,λοι,α,-20.0,ADJ,a-p---mn-,Case=Nom|Gender=Masc|Number=Plur,ccomp,0.0,δῆλοι,"(ἀφανεῖς,)",False,x̓́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄδηλοι,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀφανεῖς,ἀφανεῖς,ἀφανεῖς,ἀφανεῖς,ῖς,α,-20.0,ADJ,a-p---mn-,Case=Nom|Gender=Masc|Number=Plur,conj,0.0,ἄδηλοι,"(ἄδηλοι,)",False,x̓xxxx͂x,False,False,False,False,Nom,Masc,Plur,,,,,,
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,λόγοι,(),False,xx̔,False,False,False,False,Nom,Masc,Plur,,,,,,
λόγοι,λόγοι,λόγος,λόγοι,γοι,λ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,ἄδηλοι,(),False,xx́xxx,False,False,False,False,Nom,Masc,Plur,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ὅλων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
ὅλων,ὅλων,ὅλος,ὅλων,λων,ο,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,λόγοι,(),False,x̔́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,
εἰσί,εἰσί,εἰσί,εἰσί,σί,ε,-20.0,AUX,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἄδηλοι,(),False,xx̓xx́,False,False,False,False,,,Plur,,Ind,3,Pres,Fin,Act
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄδηλοι,(),False,",",False,True,False,False,,,,,,,,,
δῆλοι,δῆλοι,δῆλος,δῆλοι,λοι,δ,-20.0,ADJ,a-p---mn-,Case=Nom|Gender=Masc|Number=Plur,xcomp,0.0,περιέχοντες,"(φανεροὶ,)",False,xx͂xxx,False,False,False,False,Nom,Masc,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,δῆλοι,(),False,xxx̀,False,False,False,False,,,,,,,,,
φανεροὶ,φανεροὶ,φανεροὶ,φανεροὶ,οὶ,φ,-20.0,ADJ,a-p---mn-,Case=Nom|Gender=Masc|Number=Plur,conj,0.0,δῆλοι,"(δῆλοι,)",False,xxxx̀,False,False,False,False,Nom,Masc,Plur,,,,,,
γινόμενοι,γινόμενοι,γινόμενοι,γινόμενοι,νοι,γ,-20.0,VERB,v-pppemn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,δῆλοι,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,Pres,Part,Mid
καιρῶν,καιρῶν,καιρῶν,καιρῶν,ῶν,κ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,περιόδοις,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
περιόδοις,περιόδοις,περιόδο,περιόδοις,οις,π,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,γινόμενοι,(),False,xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,περιέχοντες,(),False,.,False,True,False,False,,,,,,,,,
