orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Degree,Aspect
τινὲς,τινὲς,τινὲς,τινὲς,ὲς,τ,-20.0,PRON,p-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,ἀπεφήναντο,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Plur,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἀπεφήναντο,(),False,xx̀x,False,False,False,False,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,κόσμον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
κόσμον,κόσμον,κόσμος,κόσμον,μον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,θαυμάσαντες,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
μᾶλλον,μᾶλλον,μᾶλλον,μᾶλλον,λον,μ,-20.0,ADV,d--------,,advmod,0.0,θαυμάσαντες,(),False,xx͂xxxx,False,False,False,False,,,,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,d--------,,advmod,0.0,μᾶλλον,(),False,x̓̀,False,False,False,False,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,κοσμοποιὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
κοσμοποιὸν,κοσμοποιὸν,κοσμοποιὸς,κοσμοποιὸν,ὸν,κ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἢ,(),False,xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
θαυμάσαντες,θαυμάσαντες,θαυμάζω,θαυμάσαντες,τες,θ,-20.0,VERB,v-papamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἀπεφήναντο,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,Past,Part,Act,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἀγένητόν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἀπεφήναντο,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἀγένητόν,ἀγένητόν,ἀγένητός,ἀγένητόν,όν,α,-20.0,ADJ,A-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἀπεφήναντο,"(ἀίδιον,)",False,x̓xx́xxxx́x,False,False,False,False,Acc,Masc,Sing,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἀγένητόν,(),True,xx,True,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀγένητόν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀίδιον,ἀίδιον,ἀίδιος,ἀίδιον,ιον,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἀγένητόν,"(ἀγένητόν,)",False,x̓x́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἀπεφήναντο,ἀπεφήναντο,ἀπεφήναντο,ἀπεφήναντο,ντο,α,-20.0,VERB,v3paim---,Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἀπεφήναντο,"(κατεψεύσαντο,)",False,x̓xxxx́xxxx,False,False,False,False,,,Plur,Past,Fin,Mid,Ind,3,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τοῦ,(),False,",",False,True,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,dep,0.0,ἀπεφήναντο,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,ἀπεφήναντο,(),False,xx̀,False,False,False,False,,,,,,,,,,
θεοῦ,θεοῦ,θεοῦ,θεοῦ,οῦ,θ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἀνάγνως,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
πολλὴν,πολλὴν,πολλὴν,πολλὴν,ὴν,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἀπραξίαν,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἀπραξίαν,ἀπραξίαν,ἀπραξία,ἀπραξίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀνάγνως,(),False,x̓xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἀνάγνως,ἀνάγνως,ἀνάγνως,ἀνάγνως,νως,α,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,κατεψεύσαντο,(),False,x̓xx́xxxx,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,,
κατεψεύσαντο,κατεψεύσαντο,κατεψαύω,κατεψεύσαντο,ντο,κ,-20.0,VERB,v3paim---,Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,conj,0.0,ἀπεφήναντο,"(ἀπεφήναντο,)",False,xxxx́xxxx,False,False,False,False,,,Plur,Past,Fin,Mid,Ind,3,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δέον,(),False,",",False,True,False,False,,,,,,,,,,
δέον,δέον,δέω,δέον,́ον,δ,-20.0,VERB,v-sppann-,Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἀπεφήναντο,(),False,xx́xx,False,False,False,False,Nom,Neut,Sing,Pres,Part,Act,,,,
ἔμπαλιν,ἔμπαλιν,ἔμπαλιν,ἔμπαλιν,λιν,ε,-20.0,ADV,d--------,,advmod,0.0,καταπλαγῆναι,(),False,x̓́xxxx,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,δυνάμεις,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,καταπλαγῆναι,(),False,xx̀x,False,False,False,False,,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,δυνάμεις,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
δυνάμεις,δυνάμεις,δυνάμεις,δυνάμεις,εις,δ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,καταπλαγῆναι,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,ποιητοῦ,(),False,x̔x,False,False,False,False,,,,,,,,,,
ποιητοῦ,ποιητοῦ,ποιητοῦ,ποιητοῦ,οῦ,π,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,δυνάμεις,"(πατρὸς,)",False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ποιητοῦ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πατρὸς,πατρὸς,πατρὸς,πατρὸς,ὸς,π,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ποιητοῦ,"(ποιητοῦ,)",False,xxxx̀x,False,False,False,False,Gen,Masc,Sing,,,,,,,
καταπλαγῆναι,καταπλαγῆναι,καταπλαγῆναι,καταπλαγῆναι,ναι,κ,-20.0,VERB,v--anp---,Tense=Past|VerbForm=Inf|Voice=Pass,ccomp,0.0,δέον,"(ἀποσεμνῦναι,)",False,xxxx͂xxx,False,False,False,False,,,,Past,Inf,Pass,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὸν,(),False,",",False,True,False,False,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,καταπλαγῆναι,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,καταπλαγῆναι,(),False,xx̀,False,False,False,False,,,,,,,,,,
μὴ,μὴ,οὔμὴ,μὴ,μὴ,μ,-20.0,ADV,d--------,,advmod,0.0,πλέον,(),False,xx̀,False,False,False,False,,,,,,,,,,
πλέον,πλέον,πλέος,πλέον,́ον,π,-20.0,ADJ,a-s---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Sing,advmod,0.0,ἀποσεμνῦναι,(),False,xxx́xx,False,False,False,False,Acc,Neut,Sing,,,,,,Cmp,
ἀποσεμνῦναι,ἀποσεμνῦναι,ἀποσεμνῦναι,ἀποσεμνῦναι,ναι,α,-20.0,VERB,v--ana---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Act,conj,0.0,καταπλαγῆναι,"(καταπλαγῆναι,)",False,x̓xxxx͂xxx,False,False,False,False,,,,Past,Inf,Act,,,,Perf
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,μετρίου,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
μετρίου,μετρίου,μετρίου,μετρίου,́ου,μ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἀποσεμνῦναι,(),False,xxxx́xx,False,False,False,False,Gen,Masc,Sing,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀπεφήναντο,(),False,.,False,True,False,False,,,,,,,,,,
