text,lemma,is_stop,pos,tag,dep,shape,is_alpha,is_punct,like_num,is_space
τῶν,τῶν,False,DET,l-p---mg-,det,xx͂x,False,False,False,False
ἄλλων,ἄλλος,False,ADJ,a-p---mg-,nmod,x̓́xxxx,False,False,False,False
νομοθετῶν,νομοθετῶν,False,NOUN,Nb,nmod,xxxx͂x,False,False,False,False
οἱ,οἱ,False,DET,Pp,det,xx̔,False,False,False,False
μὲν,μὲν,False,ADV,d--------,advmod,xx̀x,False,False,False,False
ἀκαλλώπιστα,ἀκαλλώπιστος,False,ADJ,a-p---na-,xcomp,x̓xxxx́xxxx,False,False,False,False
καὶ,καὶ,False,CCONJ,c--------,cc,xxx̀,False,False,False,False
γυμνὰ,γυμνὰ,False,ADJ,a-p---na-,conj,xxxx̀,False,False,False,False
τὰ,τὰ,False,DET,l-p---na-,det,xx̀,False,False,False,False
νομισθέντα,νομισθέντα,False,VERB,v-pappna-,nsubj,xxxx́xxx,False,False,False,False
παρὰ,παρὰ,False,ADP,r--------,case,xxxx̀,False,False,False,False
’,ά,False,ADP,r--------,case,’,False,True,False,False
αὐτοῖς,αὐτοῖς,False,PRON,p-p---md-,obl,xx̓xxx͂x,False,False,False,False
εἶναι,εἶναι,False,AUX,v--pna---,cop,xx̓͂xxx,False,False,False,False
δίκαια,δίκαιος,False,ADJ,a-p---na-,xcomp,xx́xxxx,False,False,False,False
διετάξαντο,διετάξαντο,False,VERB,v3paim---,ROOT,xxxx́xxxx,False,False,False,False
",",",",False,PUNCT,u--------,punct,",",False,True,False,False
οἱ,οἱ,False,DET,l-p---mn-,det,xx̔,False,False,False,False
δὲ,δὲ,False,CCONJ,c--------,cc,xx̀,False,False,False,False
πολὺν,πολὺν,False,ADJ,a-s---ma-,nmod,xxxx̀x,False,False,False,False
ὄγκον,ὄγκος,False,NOUN,n-s---ma-,obj,x̓́xxxx,False,False,False,False
τοῖς,τοῖς,False,DET,l-p---nd-,det,xxx͂x,False,False,False,False
νοήμασι,νοήμασι,False,NOUN,n-p---nd-,obl,xxx́xxxx,False,False,False,False
προσπεριβαλόντες,προσπεριβαλόντες,False,VERB,v-papamn-,advcl,xxxx́xxxx,False,False,False,False
ἐξετύφωσαν,ἐξετύφωσαν,False,VERB,v3paip---,conj,x̓xxxx́xxxx,False,False,False,False
τὰ,τὰ,False,DET,l-p---na-,det,xx̀,False,False,False,False
πλήθη,πλήθος,False,NOUN,n-p---na-,obj,xxx́xx,False,False,False,False
μυθικοῖς,μυθικοῖς,False,ADJ,a-p---nd-,nmod,xxxx͂x,False,False,False,False
πλάσμασι,πλάσμα,False,NOUN,n-p---nd-,obl,xxx́xxxx,False,False,False,False
τὴν,τὴν,False,DET,l-s---fa-,det,xx̀x,False,False,False,False
ἀλήθειαν,ἀλήθεια,False,NOUN,n-s---fa-,obj,x̓xx́xxxx,False,False,False,False
ἐπικρύψαντες,ἐπικρύπτω,False,VERB,v-papamn-,advcl,x̓xxxx́xxxx,False,False,False,False
.,.,False,PUNCT,u--------,punct,.,False,True,False,False
